Stimulus,Log (1/ODT),E,S,A,B,L,V,M,AL,AC,ES,C1,C1AC,C1AL,HS,C2,C2Al,C2AC,GrpNo,Train,Duplicates,CID,MolecularWeight,IsomericSMILES,IUPACName,name
4,0.0,0.386,0.6,0.28,0.94,2.67,0.6898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0,4,75.11,CC(CN)O,1-aminopropan-2-ol,1-aminopropan-2-ol
11,-0.778,0.416,0.64,0.1,0.11,2.573,0.6352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0,11,98.96,C(CCl)Cl,"1,2-dichloroethane","1,2-dichloroethane"
176,2.252925,0.265,0.64,0.62,0.44,1.816,0.4648,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,2.5,0.0,1,176,60.05,CC(=O)O,acetic acid,acetic acid
177,2.82391,0.208,0.67,0.0,0.45,1.23,0.4061,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,177,44.05,CC=O,acetaldehyde,acetaldehyde
180,-0.6104999999999999,0.179,0.7,0.04,0.49,1.696,0.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,3.5,1.0,1,180,58.08,CC(=O)C,propan-2-one,acetone
241,-0.43136,0.61,0.52,0.0,0.14,2.786,0.7164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,241,78.11,C1=CC=CC=C1,benzene,benzene
261,2.01031,0.1869999999999999,0.65,0.0,0.45,2.27,0.6879,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,2.333333333333333,0.3333333333333333,2,261,72.11,CCCC=O,butanal,butyraldehyde
263,0.935805,0.224,0.42,0.37,0.48,2.601,0.7309,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,2.5,0.25,3,263,74.12,CCCCO,butan-1-ol,1-butanol
264,3.24975,0.21,0.64,0.61,0.45,2.75,0.7466,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,2.333333333333333,0.3333333333333333,2,264,88.11,CCCC(=O)O,butanoic acid,butyric acid
284,-0.886,0.343,0.75,0.76,0.33,1.545,0.3239,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,284,46.025,C(=O)O,formic acid,formic acid
313,1.3098,0.36,0.32,0.1,0.0,1.193,0.3534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,313,36.46,Cl,chlorane,hydrochloric acid
335,3.55284,0.84,0.86,0.52,0.3,4.218,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,335,108.14,CC1=CC=CC=C1O,2-methylphenol,o-cresol
342,4.0,0.822,0.88,0.57,0.34,4.31,0.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,342,108.14,CC1=CC(=CC=C1)O,3-methylphenol,m-cresol
356,-0.23045,0.0,0.0,0.0,0.0,3.677,1.2358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,356,114.23,CCCCCCCC,octane,octane
379,4.012499999999999,0.15,0.65,0.62,0.45,4.68,1.3102,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,3.0,0.5,1,379,144.21,CCCCCCCC(=O)O,octanoic acid,octanoic acid
402,3.38722,0.31,0.32,0.1,0.08,0.706,0.2721,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,402,34.08,S,sulfane,hydrogen sulfide
454,3.719,0.16,0.65,0.0,0.45,4.361,1.2515,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,2.333333333333333,0.3333333333333333,2,454,128.21,CCCCCCCC=O,octanal,octanal
527,2.5225,0.196,0.65,0.0,0.45,1.815,0.547,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1,527,58.08,CCC=O,propanal,propionaldehyde
674,1.48149,0.189,0.3,0.08,0.66,1.6,0.4902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,674,45.08,CNC,N-methylmethanamine,dimethylamine
702,-0.362,0.246,0.42,0.3699999999999999,0.48,1.485,0.4491,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.333333333333333,0.6666666666666666,2,702,46.07,CCO,ethanol,ethanol
