Modifiers,Raw Descriptors,Stimulus,balsamic,camphoraceous,citrus,floral,fruity,grass,herbaceous,mint,no aroma,rose,spicy,sweet,CID,MolecularWeight,IsomericSMILES,IUPACName,name
,fruity aroma??,49,0,0,0,0,1,0,0,0,0,0,0,0,49,116.11,CC(C)C(=O)C(=O)O,3-methyl-2-oxobutanoic acid,3-methyl-2-oxobutanoic acid
,balsamic,107,1,0,0,0,0,0,0,0,0,0,0,0,107,150.17,C1=CC=C(C=C1)CCC(=O)O,3-phenylpropanoic acid,hydrocinnamic acid
,nutty aroma,126,0,0,0,0,0,0,0,0,0,0,0,0,126,122.12,C1=CC(=CC=C1C=O)O,4-hydroxybenzaldehyde,4-hydroxybenzaldehyde
,sour,176,0,0,0,0,0,0,0,0,0,0,0,0,176,60.05,CC(=O)O,acetic acid,acetic acid
,ethereal,177,0,0,0,0,0,0,0,0,0,0,0,0,177,44.05,CC=O,acetaldehyde,acetaldehyde
,fruity,179,0,0,0,0,1,0,0,0,0,0,0,0,179,88.11,CC(C(=O)C)O,3-hydroxybutan-2-one,acetoin
,minty??????,196,0,0,0,0,0,0,0,1,0,0,0,0,196,146.14,C(CCC(=O)O)CC(=O)O,hexanedioic acid,adipic acid
,,239,0,0,0,0,0,0,0,0,1,0,0,0,239,89.09,C(CN)C(=O)O,3-aminopropanoic acid,beta-alanine
,almond,240,0,0,0,0,0,0,0,0,0,0,0,0,240,106.12,C1=CC=C(C=C1)C=O,benzaldehyde,benzaldehyde
,garlic,241,0,0,0,0,0,0,0,0,0,0,0,0,241,78.11,C1=CC=CC=C1,benzene,benzene
,almond,243,0,0,0,0,0,0,0,0,0,0,0,0,243,122.12,C1=CC=C(C=C1)C(=O)O,benzoic acid,benzoic acid
,fruity,244,0,0,0,0,1,0,0,0,0,0,0,0,244,108.14,C1=CC=C(C=C1)CO,phenylmethanol,benzyl alcohol
,nutty,261,0,0,0,0,0,0,0,0,0,0,0,0,261,72.11,CCCC=O,butanal,butyraldehyde
,fruity,263,0,0,0,0,1,0,0,0,0,0,0,0,263,74.12,CCCCO,butan-1-ol,1-butanol
,salt,264,0,0,0,0,0,0,0,0,0,0,0,0,264,88.11,CCCC(=O)O,butanoic acid,butyric acid
,caraway,325,0,0,0,0,0,0,0,0,0,0,0,0,325,150.22,CC(C)C1=CC=C(C=C1)CO,(4-propan-2-ylphenyl)methanol,4-isopropylbenzyl alcohol
,wood,326,0,0,0,0,0,0,0,0,0,0,0,0,326,148.2,CC(C)C1=CC=C(C=C1)C=O,4-propan-2-ylbenzaldehyde,4-isopropylbenzaldehyde
,curry,332,0,0,0,0,0,0,0,0,0,0,0,0,332,150.17,COC1=C(C=CC(=C1)C=C)O,4-ethenyl-2-methoxyphenol,2-methoxy-4-vinylphenol
,nutty aroma,338,0,0,0,0,0,0,0,0,0,0,0,0,338,138.12,C1=CC=C(C(=C1)C(=O)O)O,2-hydroxybenzoic acid,salicylic acid
,,379,0,0,0,0,0,0,0,0,1,0,0,0,379,144.21,CCCCCCCC(=O)O,octanoic acid,octanoic acid
,lemon,454,0,0,0,0,0,0,0,0,0,0,0,0,454,128.21,CCCCCCCC=O,octanal,octanal
,smoke-like,460,0,0,0,0,0,0,0,0,0,0,0,0,460,124.14,COC1=CC=CC=C1O,2-methoxyphenol,guaiacol
,buttery odour,650,0,0,0,0,0,0,0,0,0,0,0,0,650,86.09,CC(=O)C(=O)C,"butane-2,3-dione","2,3-butanedione"
,coconut,660,0,0,0,0,0,0,0,0,0,0,0,0,660,148.16,C1CC(=O)OC2=CC=CC=C21,"3,4-dihydrochromen-2-one",dihydrocoumarin
,,798,0,0,0,0,0,0,0,0,1,0,0,0,798,117.15,C1=CC=C2C(=C1)C=CN2,1H-indole,indole
,,880,0,0,0,0,0,0,0,0,1,0,0,0,880,72.06,CC(=O)C=O,2-oxopropanal,methylglyoxal
,citrus,957,0,0,1,0,0,0,0,0,0,0,0,0,957,130.23,CCCCCCCCO,octan-1-ol,1-octanol
,grass,985,0,0,0,0,0,1,0,0,0,0,0,0,985,256.42,CCCCCCCCCCCCCCCC(=O)O,hexadecanoic acid,palmitic acid
,,994,0,0,0,0,0,0,0,0,1,0,0,0,994,165.19,C1=CC=C(C=C1)CC(C(=O)O)N,2-amino-3-phenylpropanoic acid,dl-phenylalanine
,sweet,996,0,0,0,0,0,0,0,0,0,0,0,1,996,94.11,C1=CC=C(C=C1)O,phenol,phenol
,rose,998,0,0,0,0,0,0,0,0,0,1,0,0,998,120.15,C1=CC=C(C=C1)CC=O,2-phenylacetaldehyde,phenylacetaldehyde
,rose,999,0,0,0,0,0,0,0,0,0,1,0,0,999,136.15,C1=CC=C(C=C1)CC(=O)O,2-phenylacetic acid,phenylacetic acid
,fishy,1001,0,0,0,0,0,0,0,0,0,0,0,0,1001,121.18,C1=CC=C(C=C1)CCN,2-phenylethanamine,phenethylamine
,rancid ,1032,0,0,0,0,0,0,0,0,0,0,0,0,1032,74.08,CCC(=O)O,propanoic acid,propionic acid
,sour vinegar,1060,0,0,0,0,0,0,0,0,0,0,0,0,1060,88.06,CC(=O)C(=O)O,2-oxopropanoic acid,pyruvic acid
,Fishy aroma??????,1182,0,0,0,0,0,0,0,0,0,0,0,0,1182,117.15,CC(C)C(C(=O)O)N,2-amino-3-methylbutanoic acid,dl-valine
,vanilla,1183,0,0,0,0,0,0,0,0,0,0,0,0,1183,152.15,COC1=C(C=CC(=C1)C=O)O,4-hydroxy-3-methoxybenzaldehyde,vanillin
,vanilla,2214,0,0,0,0,0,0,0,0,0,0,0,0,2214,166.17,CC(=O)C1=CC(=C(C=C1)O)OC,1-(4-hydroxy-3-methoxyphenyl)ethanone,acetovanillone
,balsamic,2345,1,0,0,0,0,0,0,0,0,0,0,0,2345,212.24,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,benzyl benzoate,benzyl benzoate
,minty,2537,0,0,0,0,0,0,0,1,0,0,0,0,2537,152.23,CC1(C2CCC1(C(=O)C2)C)C,"1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",camphor
,fruity,2682,0,0,0,0,1,0,0,0,0,0,0,0,2682,242.44,CCCCCCCCCCCCCCCCO,hexadecan-1-ol,1-hexadecanol
,tarry-smoky,2879,0,0,0,0,0,0,0,0,0,0,0,0,2879,108.14,CC1=CC=C(C=C1)O,4-methylphenol,p-cresol
,rancid,2969,0,0,0,0,0,0,0,0,0,0,0,0,2969,172.26,CCCCCCCCCC(=O)O,decanoic acid,decanoic acid
,floral,3102,0,0,0,1,0,0,0,0,0,0,0,0,3102,182.22,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,diphenylmethanone,benzophenone
,Aroma of cloves ,3314,0,0,0,0,0,0,0,0,0,0,0,0,3314,164.2,COC1=C(C=CC(=C1)CC=C)O,2-methoxy-4-prop-2-enylphenol,eugenol
,,3322,0,0,0,0,0,0,0,0,1,0,0,0,3322,244.37,CCCCCCCC=CCC#CC#CC(C=C)O,"heptadeca-1,9-dien-4,6-diyn-3-ol",falcarinol
,lily,3893,0,0,0,0,0,0,0,0,0,0,0,0,3893,200.32,CCCCCCCCCCCC(=O)O,dodecanoic acid,lauric acid
,mint,4133,0,0,0,0,0,0,0,1,0,0,0,0,4133,152.15,COC(=O)C1=CC=CC=C1O,methyl 2-hydroxybenzoate,methyl salicylate
,balsamic,4276,1,0,0,0,0,0,0,0,0,0,0,0,4276,192.21,COC1=CC(=CC2=C1OCO2)CC=C,"4-methoxy-6-prop-2-enyl-1,3-benzodioxole",myristicin
,rose-like aroma??,4458,0,0,0,0,0,0,0,0,0,1,0,0,4458,154.25,CC(=CCCC(=CCO)C)C,"3,7-dimethylocta-2,6-dien-1-ol","3,7-dimethyl-2,6-octadien-1-ol"
,floral aroma??,4775,0,0,0,1,0,0,0,0,0,0,0,0,4775,164.2,C1=CC=C(C=C1)CCCC(=O)O,4-phenylbutanoic acid,4-phenylbutyric acid
,Sweet aroma,4788,0,0,0,0,0,0,0,0,0,0,0,1,4788,274.27,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,"3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",phloretin
,Salty,4837,0,0,0,0,0,0,0,0,0,0,0,0,4837,86.14,C1CNCCN1,piperazine,piperazine
,Sasafras aroma ,5144,0,0,0,0,0,0,0,0,0,0,0,0,5144,162.18,C=CCC1=CC2=C(C=C1)OCO2,"5-prop-2-enyl-1,3-benzodioxole",safrole
,coconut,5146,0,0,0,0,0,0,0,0,0,0,0,0,5146,124.14,C1=CC=C(C(=C1)CO)O,2-(hydroxymethyl)phenol,salicyl alcohol
,tallow,5281,0,0,0,0,0,0,0,0,0,0,0,0,5281,284.5,CCCCCCCCCCCCCCCCCC(=O)O,octadecanoic acid,stearic acid
,Sulferous aroma,5862,0,0,0,0,0,0,0,0,0,0,0,0,5862,121.16,C([C@@H](C(=O)O)N)S,(2R)-2-amino-3-sulfanylpropanoic acid,l-cysteine
,,5960,0,0,0,0,0,0,0,0,1,0,0,0,5960,133.1,C([C@@H](C(=O)O)N)C(=O)O,(2S)-2-aminobutanedioic acid,l-aspartic acid
,pungent,5971,0,0,0,0,0,0,0,0,0,0,0,0,5971,99.16,C=CCN=C=S,3-isothiocyanatoprop-1-ene,allyl isothiocyanate
,Flower,6054,0,0,0,1,0,0,0,0,0,0,0,0,6054,122.16,C1=CC=C(C=C1)CCO,2-phenylethanol,2-phenylethanol
,no aroma,6106,0,0,0,0,0,0,0,0,1,0,0,0,6106,131.17,CC(C)C[C@@H](C(=O)O)N,(2S)-2-amino-4-methylpentanoic acid,l-leucine
,grass,6184,0,0,0,0,0,1,0,0,0,0,0,0,6184,100.16,CCCCCC=O,hexanal,hexanal
,no aroma,6274,0,0,0,0,0,0,0,0,1,0,0,0,6274,155.15,C1=C(NC=N1)C[C@@H](C(=O)O)N,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,l-histidine
,savoury aroma??,6288,0,0,0,0,0,0,0,0,0,0,0,0,6288,119.12,C[C@H]([C@@H](C(=O)O)N)O,"(2S,3R)-2-amino-3-hydroxybutanoic acid",l-threonine
