Modifiers,Raw Descriptors,Stimulus,balsamic,camphoraceous,citrus,floral,fruity,grass,herbaceous,mint,rose,spicy,sweet,CID,MolecularWeight,IsomericSMILES,IUPACName,name
,fruity aroma??,49,0,0,0,0,1,0,0,0,0,0,0,49,116.11,CC(C)C(=O)C(=O)O,3-methyl-2-oxobutanoic acid,3-methyl-2-oxobutanoic acid
,balsamic,107,1,0,0,0,0,0,0,0,0,0,0,107,150.17,C1=CC=C(C=C1)CCC(=O)O,3-phenylpropanoic acid,hydrocinnamic acid
,fruity,179,0,0,0,0,1,0,0,0,0,0,0,179,88.11,CC(C(=O)C)O,3-hydroxybutan-2-one,acetoin
,minty??????,196,0,0,0,0,0,0,0,1,0,0,0,196,146.14,C(CCC(=O)O)CC(=O)O,hexanedioic acid,adipic acid
,fruity,244,0,0,0,0,1,0,0,0,0,0,0,244,108.14,C1=CC=C(C=C1)CO,phenylmethanol,benzyl alcohol
,fruity,263,0,0,0,0,1,0,0,0,0,0,0,263,74.12,CCCCO,butan-1-ol,1-butanol
,citrus,957,0,0,1,0,0,0,0,0,0,0,0,957,130.23,CCCCCCCCO,octan-1-ol,1-octanol
,grass,985,0,0,0,0,0,1,0,0,0,0,0,985,256.42,CCCCCCCCCCCCCCCC(=O)O,hexadecanoic acid,palmitic acid
,sweet,996,0,0,0,0,0,0,0,0,0,0,1,996,94.11,C1=CC=C(C=C1)O,phenol,phenol
,rose,998,0,0,0,0,0,0,0,0,1,0,0,998,120.15,C1=CC=C(C=C1)CC=O,2-phenylacetaldehyde,phenylacetaldehyde
,rose,999,0,0,0,0,0,0,0,0,1,0,0,999,136.15,C1=CC=C(C=C1)CC(=O)O,2-phenylacetic acid,phenylacetic acid
,balsamic,2345,1,0,0,0,0,0,0,0,0,0,0,2345,212.24,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,benzyl benzoate,benzyl benzoate
,minty,2537,0,0,0,0,0,0,0,1,0,0,0,2537,152.23,CC1(C2CCC1(C(=O)C2)C)C,"1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",camphor
,fruity,2682,0,0,0,0,1,0,0,0,0,0,0,2682,242.44,CCCCCCCCCCCCCCCCO,hexadecan-1-ol,1-hexadecanol
,floral,3102,0,0,0,1,0,0,0,0,0,0,0,3102,182.22,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,diphenylmethanone,benzophenone
,mint,4133,0,0,0,0,0,0,0,1,0,0,0,4133,152.15,COC(=O)C1=CC=CC=C1O,methyl 2-hydroxybenzoate,methyl salicylate
,balsamic,4276,1,0,0,0,0,0,0,0,0,0,0,4276,192.21,COC1=CC(=CC2=C1OCO2)CC=C,"4-methoxy-6-prop-2-enyl-1,3-benzodioxole",myristicin
,rose-like aroma??,4458,0,0,0,0,0,0,0,0,1,0,0,4458,154.25,CC(=CCCC(=CCO)C)C,"3,7-dimethylocta-2,6-dien-1-ol","3,7-dimethyl-2,6-octadien-1-ol"
,floral aroma??,4775,0,0,0,1,0,0,0,0,0,0,0,4775,164.2,C1=CC=C(C=C1)CCCC(=O)O,4-phenylbutanoic acid,4-phenylbutyric acid
,Sweet aroma,4788,0,0,0,0,0,0,0,0,0,0,1,4788,274.27,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,"3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",phloretin
,Flower,6054,0,0,0,1,0,0,0,0,0,0,0,6054,122.16,C1=CC=C(C=C1)CCO,2-phenylethanol,2-phenylethanol
,grass,6184,0,0,0,0,0,1,0,0,0,0,0,6184,100.16,CCCCCC=O,hexanal,hexanal
,herbaceous,6505,0,0,0,0,0,0,1,0,0,0,0,6505,402.5,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,"tributyl 2-acetyloxypropane-1,2,3-tricarboxylate",77-90-7
,Fruity aroma??,6569,0,0,0,0,1,0,0,0,0,0,0,6569,72.11,CCC(=O)C,butan-2-one,2-butanone
,citrus,6584,0,0,1,0,0,0,0,0,0,0,0,6584,74.08,CC(=O)OC,methyl acetate,methyl acetate
,camphor,6616,0,1,0,0,0,0,0,0,0,0,0,6616,136.23,CC1(C2CCC(C2)C1=C)C,"2,2-dimethyl-3-methylidenebicyclo[2.2.1]heptane",camphene
,citrusy,6818,0,0,1,0,0,0,0,0,0,0,0,6818,334.4,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCCCC,"1-O-butyl 2-O-(2-ethylhexyl) benzene-1,2-dicarboxylate",butyl 2-ethylhexyl phthalate
,sweet,6826,0,0,0,0,0,0,0,0,0,0,1,6826,165.19,CNC1=CC=CC=C1C(=O)OC,methyl 2-(methylamino)benzoate,methyl 2-(methylamino)benzoate
,minty??,6985,0,0,0,0,0,0,0,1,0,0,0,6985,148.2,CC1=CC(=C(C=C1)C(=O)C)C,"1-(2,4-dimethylphenyl)ethanone","2',4'-dimethylacetophenone"
,mint,6986,0,0,0,0,0,0,0,1,0,0,0,6986,154.25,CC1CCC(C(=O)C1)C(C)C,5-methyl-2-propan-2-ylcyclohexan-1-one,10458-14-7
,mint,6987,0,0,0,0,0,0,0,1,0,0,0,6987,152.23,CC1=CC(=O)C(CC1)C(C)C,3-methyl-6-propan-2-ylcyclohex-2-en-1-one,piperitone
,grass,6988,0,0,0,0,0,1,0,0,0,0,0,6988,152.23,CC1CCC(=C(C)C)C(=O)C1,5-methyl-2-propan-2-ylidenecyclohexan-1-one,pulegone
,spicy,6989,0,0,0,0,0,0,0,0,0,1,0,6989,150.22,CC1=CC(=C(C=C1)C(C)C)O,5-methyl-2-propan-2-ylphenol,thymol
,balsamic,7047,1,0,0,0,0,0,0,0,0,0,0,7047,129.16,C1=CC=C2C(=C1)C=CC=N2,quinoline,quinoline
,rose aroma,7095,0,0,0,0,0,0,0,0,1,0,0,7095,154.21,C1=CC=C(C=C1)C2=CC=CC=C2,"1,1'-biphenyl",biphenyl
,Flowery rose,7127,0,0,0,1,0,0,0,0,1,0,0,7127,178.23,COC1=C(C=C(C=C1)CC=C)OC,"1,2-dimethoxy-4-prop-2-enylbenzene",methyl eugenol
,vanilla sweet,7144,0,0,0,0,0,0,0,0,0,0,1,7144,138.16,CC1=CC(=C(C=C1)O)OC,2-methoxy-4-methylphenol,2-methoxy-4-methylphenol
,fermented fruit??????,7184,0,0,0,0,1,0,0,0,0,0,0,7184,194.23,CCCCOC(=O)C1=CC=C(C=C1)O,butyl 4-hydroxybenzoate,butyl 4-hydroxybenzoate
,minty aroma??????,7335,0,0,0,0,0,0,0,1,0,0,0,7335,194.27,CC1=CCC(CC1OC(=O)C)C(=C)C,(2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-yl) acetate,carvyl acetate
,minty aroma??????,7336,0,0,0,0,0,0,0,1,0,0,0,7336,208.3,CCC(=O)OC1CC(CC=C1C)C(=C)C,(2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-yl) propanoate,carvyl propionate
,fruity,7353,0,0,0,0,1,0,0,0,0,0,0,7353,144.21,CCCCOC(=O)C(C)C,butyl 2-methylpropanoate,butyl isobutyrate
,fruity aroma??,7413,0,0,0,0,1,0,0,0,0,0,0,7413,128.17,C1CCC(CC1)C(=O)O,cyclohexanecarboxylic acid,cyclohexanecarboxylic acid
,mint,7438,0,0,0,0,0,0,0,1,0,0,0,7438,152.23,CC1=CCC(CC1O)C(=C)C,2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-ol,carveol
,herbaceous aroma,7460,0,0,0,0,0,0,1,0,0,0,0,7460,136.23,CC1=CCC(C=C1)C(C)C,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",alpha-phellandrene
,citrus,7463,0,0,1,0,0,0,0,0,0,0,0,7463,134.22,CC1=CC=C(C=C1)C(C)C,1-methyl-4-propan-2-ylbenzene,p-cymene
,"vanillic, balsamic",7476,1,0,0,0,0,0,0,0,0,0,0,7476,150.17,CC(=O)C1=CC=C(C=C1)OC,1-(4-methoxyphenyl)ethanone,4'-methoxyacetophenone
,fruity aroma,7509,0,0,0,0,1,0,0,0,0,0,0,7509,124.21,C1=CC=C(C=C1)CS,phenylmethanethiol,benzyl mercaptan
,herbaceous,7531,0,0,0,0,0,0,1,0,0,0,0,7531,150.22,CC(C)(CC1=CC=CC=C1)O,2-methyl-1-phenylpropan-2-ol,2-methyl-1-phenyl-2-propanol
,fruity-almond,7593,0,0,0,0,1,0,0,0,0,0,0,7593,210.27,C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2,"1,3-diphenylpropan-2-one","1,3-diphenylacetone"
,balsamic-rosy,7599,1,0,0,0,0,0,0,0,1,0,0,7599,256.3,COC1=CC=C(C=C1)COC(=O)CC2=CC=CC=C2,(4-methoxyphenyl)methyl 2-phenylacetate,4-methoxybenzyl phenylacetate
,rose,7601,0,0,0,0,0,0,0,0,1,0,0,7601,240.3,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,2-phenylethyl 2-phenylacetate,phenethyl phenylacetate
,rose sweetness aroma??,7632,0,0,0,0,0,0,0,0,1,0,1,7632,164.24,CC(C)(CCC1=CC=CC=C1)O,2-methyl-4-phenylbutan-2-ol,2-methyl-4-phenyl-2-butanol
,rosy-fruity,7643,0,0,0,0,1,0,0,0,1,0,0,7643,164.2,COC(=O)CCC1=CC=CC=C1,methyl 3-phenylpropanoate,methyl 3-phenylpropionate
,fruity-floral,7646,0,0,0,1,1,0,0,0,0,0,0,7646,178.23,CC(C)C(=O)OCC1=CC=CC=C1,benzyl 2-methylpropanoate,benzyl isobutyrate
,fruity-floral,7650,0,0,0,0,1,0,0,0,0,0,0,7650,178.23,CCCC(=O)OCC1=CC=CC=C1,benzyl butanoate,benzyl butyrate
,fruity-rosy,7655,0,0,0,0,1,0,0,0,1,0,0,7655,192.25,CC(C)C(=O)OCCC1=CC=CC=C1,2-phenylethyl 2-methylpropanoate,phenethyl isobutyrate
,fruity,7658,0,0,0,0,1,0,0,0,0,0,0,7658,192.25,CCCC(=O)OCCC1=CC=CC=C1,2-phenylethyl butanoate,phenethyl butyrate
,fruity-floral,7661,0,0,0,1,1,0,0,0,0,0,0,7661,190.24,CCC(=O)OCC=CC1=CC=CC=C1,3-phenylprop-2-enyl propanoate,3-phenylprop-2-en-1-yl propanoate
,fruity,7685,0,0,0,0,1,0,0,0,0,0,0,7685,178.23,CC1=CC=C(C=C1)OC(=O)C(C)C,(4-methylphenyl) 2-methylpropanoate,p-tolyl isobutyrate
,balsamic,7695,1,0,0,0,0,0,0,0,0,0,0,7695,180.2,CC(=O)OCC1=CC=C(C=C1)OC,(4-methoxyphenyl)methyl acetate,4-methoxybenzyl acetate
,herbaceous,7702,0,0,0,0,0,0,1,0,0,0,0,7702,150.22,CCCC1=CC=C(C=C1)OC,1-methoxy-4-propylbenzene,4-propylanisole
,floral,7707,0,0,0,1,0,0,0,0,0,0,0,7707,134.17,C1=CC=C(C=C1)CCC=O,3-phenylpropanal,3-phenylpropanal
,floral-fruity,7708,0,0,0,1,1,0,0,0,0,0,0,7708,136.15,C1=CC=C(C=C1)COC=O,benzyl formate,benzyl formate
,"herbaceous,rose",7711,0,0,0,0,0,0,1,0,1,0,0,7711,150.17,C1=CC=C(C=C1)CCOC=O,2-phenylethyl formate,2-phenylethyl formate
,fruity,7714,0,0,0,0,1,0,0,0,0,0,0,7714,184.27,CCCCCCCC1CCC(=O)O1,5-heptyloxolan-2-one,gamma-undecalactone
,sweet aroma,7731,0,0,0,0,0,0,0,0,0,0,1,7731,122.16,CC1=CC=C(C=C1)OC,1-methoxy-4-methylbenzene,4-methylanisole
,sweet floral,7738,0,0,0,1,0,0,0,0,0,0,1,7738,138.16,COC1=CC=C(C=C1)CO,(4-methoxyphenyl)methanol,4-methoxybenzyl alcohol
,fruity,7761,0,0,0,0,1,0,0,0,0,0,0,7761,160.17,CCOC(=O)CC(=O)OCC,diethyl propanedioate,diethyl malonate
,fruity,7765,0,0,0,0,1,0,0,0,0,0,0,7765,118.17,CCOC(C)OCC,"1,1-diethoxyethane",acetal
