Dataset,Mixture Label,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID,CID
Snitz 1,1,6501,264,2879,7685,7731,326,7888,61138,8030,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 1,3,7710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 1,4,31276,93009,11002,323,7966,8148,7632,22201,19310,7762,2758,3314,460,443158,20859,7059,999,6544,7770,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 1,10,7410,6501,7600,7519,264,5281515,6259976,307,2879,7685,7731,326,5283349,7583,7749,7363,8129,7888,61016,8635,8918,957,7991,61138,6654,8118,6736,10722,1140,7410,14286,6501,7600,62433,7519,264,5281515,6259976,307,2879,7685,7731,326,5283349,7583,7749,7363,8129,62336,7888,61016,16666,7119,8635,8918,957,18827,1183
Snitz 1,16,10890,7519,323,7583,7762,26331,8892,7888,443158,16666,8635,91497,8918,957,18827,8118,8030,6989,5634,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 1,17,14286,31276,7600,7519,11002,6982,307,323,5283349,7762,26331,3314,7363,8892,8103,7888,443158,16666,8635,7059,91497,957,18827,7770,6736,8030,6989,10722,5634,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 1,20,62336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 1,24,7749,61138,6054,6544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 1,39,61199,6501,264,2879,7731,326,24915,7762,460,8129,8892,12178,5281168,443158,4133,999,10821,17100,11552,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snitz 1,41,61199,6501,31276,10890,7519,240,93009,264,11002,6259976,2879,8797,7685,7731,326,7966,5283349,9609,24915,7583,7762,26331,460,8129,8892,12178,5281168,443158,20859,4133,62444,8918,957,61138,999,10821,6544,6736,17100,31277,10722,11552,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
