Dataset,Mixture 1,Mixture 2,Experimental Values
Snitz 1,1,2,0.60416667
Snitz 1,1,3,0.65104167
Snitz 1,1,5,0.50520833
Snitz 1,1,6,0.41145833
Snitz 1,1,7,0.5625
Snitz 1,3,38,0.77840909
Snitz 1,3,39,0.77272727
Snitz 1,3,40,0.72727273
Snitz 1,3,41,0.69318182
Snitz 1,8,2,0.75520833
Snitz 1,8,3,0.68489583
Snitz 1,8,4,0.84895833
Snitz 1,8,5,0.765625
Snitz 1,8,6,0.80729167
Snitz 1,8,7,0.90104167
Snitz 1,9,2,0.56770833
Snitz 1,9,3,0.671875
Snitz 1,9,4,0.42447917
Snitz 1,9,5,0.390625
Snitz 1,9,6,0.44791667
Snitz 1,9,7,0.61979167
Snitz 1,10,2,0.56770833
Snitz 1,10,4,0.54166667
Snitz 1,10,5,0.36979167
Snitz 1,10,6,0.41145833
Snitz 1,10,7,0.45833333
Snitz 1,11,2,0.51041667
Snitz 1,11,3,0.71354167
Snitz 1,11,4,0.46875
Snitz 1,11,5,0.34375
Snitz 1,11,6,0.38020833
Snitz 1,11,7,0.55208333
Snitz 1,12,2,0.77083333
Snitz 1,12,3,0.765625
Snitz 1,12,4,0.69791667
Snitz 1,12,5,0.68229167
Snitz 1,12,6,0.63020833
Snitz 1,12,7,0.7109375
Snitz 1,13,14,0.75480769
Snitz 1,13,15,0.70192308
Snitz 1,13,16,0.70673077
Snitz 1,13,17,0.58173077
Snitz 1,13,18,0.56730769
Snitz 1,13,19,0.82211538
Snitz 1,20,14,0.71153846
Snitz 1,20,15,0.53365385
Snitz 1,20,17,0.77403846
Snitz 1,20,18,0.72115385
Snitz 1,20,19,0.53365385
Snitz 1,21,14,0.73557692
Snitz 1,21,15,0.71153846
Snitz 1,21,16,0.57211538
Snitz 1,21,17,0.51442308
Snitz 1,21,18,0.53365385
Snitz 1,21,19,0.68269231
Snitz 1,22,14,0.73557692
Snitz 1,22,15,0.68269231
Snitz 1,22,16,0.45192308
