Dataset,Mixture 1,Mixture 2,Experimental Values,Category,Idx_DREAM,Difference
Bushdid,65.0,66.0,0.6538461538461539,leaderboard,0.0,
Snitz 2,1.0,8.0,0.6404200025119999,leaderboard,1.0,
Snitz 1,24.0,17.0,0.745192307692,leaderboard,2.0,
Snitz 2,12.0,14.0,0.608783614917,leaderboard,3.0,
Snitz 1,49.0,45.0,0.6761363636359999,leaderboard,4.0,
Snitz 1,20.0,16.0,0.754807692308,leaderboard,5.0,
Snitz 1,47.0,39.0,0.5625,leaderboard,6.0,
Bushdid,29.0,30.0,0.7307692307692307,leaderboard,7.0,
Snitz 1,10.0,3.0,0.6510416666669999,leaderboard,8.0,
Bushdid,135.0,136.0,0.5384615384615384,leaderboard,9.0,
Snitz 2,3.0,4.0,0.448164065689,leaderboard,10.0,
Bushdid,487.0,488.0,0.6538461538461539,leaderboard,11.0,
Bushdid,243.0,244.0,0.4615384615384615,leaderboard,12.0,
Bushdid,17.0,18.0,0.3461538461538461,leaderboard,13.0,
Ravia,85.0,95.0,0.671875,leaderboard,14.0,
Bushdid,457.0,458.0,0.8076923076923077,leaderboard,15.0,
Snitz 2,9.0,14.0,0.45565993858,leaderboard,16.0,
Ravia,41.0,51.0,0.3541666666666667,leaderboard,17.0,
Bushdid,51.0,52.0,0.3076923076923077,leaderboard,18.0,
Bushdid,385.0,386.0,0.4230769230769231,leaderboard,19.0,
Bushdid,19.0,20.0,0.5384615384615384,leaderboard,20.0,
Bushdid,503.0,504.0,0.8461538461538461,leaderboard,21.0,
Snitz 2,2.0,4.0,0.389479171047,leaderboard,22.0,
Bushdid,21.0,22.0,0.5,leaderboard,23.0,
Bushdid,235.0,236.0,0.3076923076923077,leaderboard,24.0,
Bushdid,483.0,484.0,0.5,leaderboard,25.0,
Bushdid,7.0,8.0,0.5384615384615384,leaderboard,26.0,
Bushdid,511.0,512.0,0.5769230769230769,leaderboard,27.0,
Bushdid,119.0,120.0,0.7307692307692307,leaderboard,28.0,
Snitz 2,7.0,13.0,0.560994228333,leaderboard,29.0,
Bushdid,455.0,456.0,0.5,leaderboard,30.0,
Snitz 2,12.0,10.0,0.629042939731,leaderboard,31.0,
Bushdid,431.0,432.0,0.7692307692307693,leaderboard,32.0,
Bushdid,133.0,134.0,0.4230769230769231,leaderboard,33.0,
Ravia,7.0,17.0,0.4285714285714285,leaderboard,34.0,
Ravia,44.0,54.0,0.3958333333333333,leaderboard,35.0,
Bushdid,203.0,204.0,0.6923076923076923,leaderboard,36.0,
Snitz 1,47.0,41.0,0.534090909091,leaderboard,37.0,
Bushdid,167.0,168.0,0.7692307692307693,leaderboard,38.0,
Snitz 1,1.0,4.0,0.526041666667,leaderboard,39.0,
Bushdid,171.0,172.0,0.2307692307692307,leaderboard,40.0,
Bushdid,233.0,234.0,0.6923076923076923,leaderboard,41.0,
Ravia,30.0,40.0,0.9107142857142856,leaderboard,42.0,
Bushdid,429.0,430.0,0.2307692307692307,leaderboard,43.0,
Bushdid,139.0,140.0,0.5769230769230769,leaderboard,44.0,
Snitz 2,6.0,7.0,0.728967094619,leaderboard,45.0,
