Dataset,Mixture 1,Mixture 2,Experimental Values
Bushdid,65,66,0
Snitz 2,1,8,0
Snitz 1,24,17,0
Snitz 2,12,14,0
Snitz 1,49,45,0
Snitz 1,20,16,0
Snitz 1,47,39,0
Bushdid,29,30,0
Snitz 1,10,3,0
Bushdid,135,136,0
Snitz 2,3,4,0
Bushdid,487,488,0
Bushdid,243,244,0
Bushdid,17,18,0
Ravia,85,95,0
Bushdid,457,458,0
Snitz 2,9,14,0
Ravia,41,51,0
Bushdid,51,52,0
Bushdid,385,386,0
Bushdid,19,20,0
Bushdid,503,504,0
Snitz 2,2,4,0
Bushdid,21,22,0
Bushdid,235,236,0
Bushdid,483,484,0
Bushdid,7,8,0
Bushdid,511,512,0
Bushdid,119,120,0
Snitz 2,7,13,0
Bushdid,455,456,0
Snitz 2,12,10,0
Bushdid,431,432,0
Bushdid,133,134,0
Ravia,7,17,0
Ravia,44,54,0
Bushdid,203,204,0
Snitz 1,47,41,0
Bushdid,167,168,0
Snitz 1,1,4,0
Bushdid,171,172,0
Bushdid,233,234,0
Ravia,30,40,0
Bushdid,429,430,0
Bushdid,139,140,0
Snitz 2,6,7,0
