Stimulus 1,Stimulus 2,Correct_Ratio,Dataset,Mixture 1,Mixture 2,Experimental Values
1,11,0.7045454545454546,Ravia,1.0,11.0,0.75
2,12,0.6363636363636364,Ravia,2.0,12.0,0.5893
3,13,0.5113636363636364,Ravia,3.0,13.0,0.5
4,14,0.5284090909090909,Ravia,4.0,14.0,0.5
5,15,0.7215909090909091,Ravia,5.0,15.0,0.6607
6,16,0.4659090909090909,Ravia,6.0,16.0,0.5179
7,17,0.48295454545454547,,,,
8,18,0.5113636363636364,Ravia,8.0,18.0,0.4821
9,19,0.6079545454545454,Ravia,9.0,19.0,0.375
10,20,0.6761363636363636,Ravia,10.0,20.0,0.75
21,31,0.6931818181818182,Ravia,21.0,31.0,0.5893
22,32,0.9375,Ravia,22.0,32.0,0.9107
23,33,0.5738636363636364,Ravia,23.0,33.0,0.4821
24,34,0.8352272727272727,Ravia,24.0,34.0,0.7321
25,35,0.5625,Ravia,25.0,35.0,0.4643
26,36,0.7613636363636364,Ravia,26.0,36.0,0.7143
27,37,0.5568181818181818,Ravia,27.0,37.0,0.5
28,38,0.6477272727272727,Ravia,28.0,38.0,0.6071
29,39,0.625,Ravia,29.0,39.0,0.5893
30,40,0.7670454545454546,,,,
41,51,0.4226190476190476,,,,
42,52,0.6666666666666666,Ravia,42.0,52.0,0.5
43,53,0.7142857142857143,Ravia,43.0,53.0,0.3958
44,54,0.5297619047619048,,,,
45,55,0.3392857142857143,Ravia,45.0,55.0,0.3542
46,56,0.5476190476190477,Ravia,46.0,56.0,0.5208
47,57,0.5059523809523809,Ravia,47.0,57.0,0.5
48,58,0.39285714285714285,Ravia,48.0,58.0,0.3542
49,59,0.5773809523809523,Ravia,49.0,59.0,0.3125
50,60,0.47023809523809523,Ravia,50.0,60.0,0.3958
61,71,0.6666666666666666,Ravia,61.0,71.0,0.6667
62,72,0.5416666666666666,Ravia,62.0,72.0,0.5417
63,73,0.6041666666666666,Ravia,63.0,73.0,0.6042
64,74,0.4583333333333333,Ravia,64.0,74.0,0.4583
65,75,0.6458333333333334,Ravia,65.0,75.0,0.6458
66,76,0.7291666666666666,Ravia,66.0,76.0,0.7292
67,77,0.6458333333333334,Ravia,67.0,77.0,0.6458
68,78,0.6666666666666666,Ravia,68.0,78.0,0.6667
69,79,0.6041666666666666,Ravia,69.0,79.0,0.6042
70,80,0.7708333333333334,Ravia,70.0,80.0,0.7708
81,91,0.592391304347826,Ravia,81.0,91.0,0.4375
82,92,0.42391304347826086,Ravia,82.0,92.0,0.3594
83,93,0.5815217391304348,Ravia,83.0,93.0,0.4688
84,94,0.44021739130434784,Ravia,84.0,94.0,0.4688
85,95,0.5760869565217391,,,,
86,96,0.3695652173913043,Ravia,86.0,96.0,0.4062
87,97,0.30434782608695654,Ravia,87.0,97.0,0.3906
88,98,0.3532608695652174,Ravia,88.0,98.0,0.4219
89,99,0.47282608695652173,Ravia,89.0,99.0,0.4219
90,100,0.4673913043478261,Ravia,90.0,100.0,0.4688
101,111,0.4583333333333333,,,,
102,112,0.44166666666666665,,,,
103,113,0.8,,,,
104,114,0.38333333333333336,,,,
105,115,0.6,,,,
106,116,0.45,,,,
107,117,0.675,,,,
108,118,0.4666666666666667,,,,
109,119,0.7166666666666667,,,,
110,120,0.43333333333333335,,,,
