Dataset,Mixture 1,Mixture 2,Experimental Values
Snitz 1,1,2,0.604166667
Snitz 1,1,3,0.651041667
Snitz 1,1,4,0.526041667
Snitz 1,1,5,0.505208333
Snitz 1,1,6,0.411458333
Snitz 1,1,7,0.5625
Snitz 1,8,2,0.755208333
Snitz 1,8,3,0.684895833
Snitz 1,8,4,0.848958333
Snitz 1,8,5,0.765625
Snitz 1,8,6,0.807291667
Snitz 1,8,7,0.901041667
Snitz 1,9,2,0.567708333
Snitz 1,9,3,0.671875
Snitz 1,9,4,0.424479167
Snitz 1,9,5,0.390625
Snitz 1,9,6,0.447916667
Snitz 1,9,7,0.619791667
Snitz 1,10,2,0.567708333
Snitz 1,10,3,0.651041667
Snitz 1,10,4,0.541666667
Snitz 1,10,5,0.369791667
Snitz 1,10,6,0.411458333
Snitz 1,10,7,0.458333333
Snitz 1,11,2,0.510416667
Snitz 1,11,3,0.713541667
Snitz 1,11,4,0.46875
Snitz 1,11,5,0.34375
Snitz 1,11,6,0.380208333
Snitz 1,11,7,0.552083333
Snitz 1,12,2,0.770833333
Snitz 1,12,3,0.765625
Snitz 1,12,4,0.697916667
Snitz 1,12,5,0.682291667
Snitz 1,12,6,0.630208333
Snitz 1,12,7,0.7109375
Snitz 1,13,14,0.754807692
Snitz 1,13,15,0.701923077
Snitz 1,13,16,0.706730769
Snitz 1,13,17,0.581730769
Snitz 1,13,18,0.567307692
Snitz 1,13,19,0.822115385
Snitz 1,20,14,0.711538462
Snitz 1,20,15,0.533653846
Snitz 1,20,16,0.754807692
Snitz 1,20,17,0.774038462
Snitz 1,20,18,0.721153846
Snitz 1,20,19,0.533653846
Snitz 1,21,14,0.735576923
Snitz 1,21,15,0.711538462
Snitz 1,21,16,0.572115385
Snitz 1,21,17,0.514423077
Snitz 1,21,18,0.533653846
Snitz 1,21,19,0.682692308
Snitz 1,22,14,0.735576923
Snitz 1,22,15,0.682692308
Snitz 1,22,16,0.451923077
Snitz 1,22,17,0.427884615
Snitz 1,22,18,0.5
Snitz 1,22,19,0.793269231
Snitz 1,23,14,0.754807692
Snitz 1,23,15,0.673076923
Snitz 1,23,16,0.5
Snitz 1,23,17,0.451923077
Snitz 1,23,18,0.418269231
Snitz 1,23,19,0.778846154
Snitz 1,24,14,0.778846154
Snitz 1,24,15,0.701923077
Snitz 1,24,16,0.735576923
Snitz 1,24,17,0.745192308
Snitz 1,24,18,0.778846154
Snitz 1,24,19,0.677884615
Snitz 1,25,26,0.711538462
Snitz 1,25,27,0.721153846
Snitz 1,25,28,0.629807692
Snitz 1,25,29,0.673076923
Snitz 1,25,30,0.663461539
Snitz 1,25,31,0.610576923
Snitz 1,32,26,0.8125
Snitz 1,32,27,0.721153846
Snitz 1,32,28,0.793269231
Snitz 1,32,29,0.610576923
Snitz 1,32,30,0.740384615
Snitz 1,32,31,0.754807692
Snitz 1,33,26,0.682692308
Snitz 1,33,27,0.615384615
Snitz 1,33,28,0.735576923
Snitz 1,33,29,0.533653846
Snitz 1,33,30,0.519230769
Snitz 1,33,31,0.725961539
Snitz 1,34,26,0.658653846
Snitz 1,34,27,0.634615385
Snitz 1,34,28,0.692307692
Snitz 1,34,29,0.524038462
Snitz 1,34,30,0.456730769
Snitz 1,34,31,0.692307692
Snitz 1,35,26,0.735576923
Snitz 1,35,27,0.653846154
Snitz 1,35,28,0.673076923
Snitz 1,35,29,0.629807692
Snitz 1,35,30,0.514423077
Snitz 1,35,31,0.653846154
Snitz 1,36,26,0.769230769
Snitz 1,36,27,0.653846154
Snitz 1,36,28,0.716346154
Snitz 1,36,29,0.807692308
Snitz 1,36,30,0.764423077
Snitz 1,36,31,0.826923077
Snitz 1,37,38,0.522727273
Snitz 1,37,39,0.625
Snitz 1,37,40,0.642045455
Snitz 1,37,41,0.625
Snitz 1,42,39,0.528409091
Snitz 1,42,40,0.539772727
Snitz 1,42,41,0.471590909
Snitz 1,3,38,0.778409091
Snitz 1,3,39,0.772727273
Snitz 1,3,40,0.727272727
Snitz 1,3,41,0.693181818
Snitz 1,43,44,0.659090909
Snitz 1,43,38,0.664772727
Snitz 1,43,45,0.840909091
Snitz 1,43,39,0.642045455
Snitz 1,43,40,0.653409091
Snitz 1,43,41,0.647727273
Snitz 1,43,46,0.6875
Snitz 1,47,44,0.664772727
Snitz 1,47,38,0.392045455
Snitz 1,47,45,0.789772727
Snitz 1,47,39,0.5625
Snitz 1,47,40,0.488636364
Snitz 1,47,41,0.534090909
Snitz 1,47,46,0.619318182
Snitz 1,48,44,0.676136364
Snitz 1,48,38,0.414772727
Snitz 1,48,45,0.755681818
Snitz 1,48,39,0.443181818
Snitz 1,48,40,0.346590909
Snitz 1,48,41,0.522727273
Snitz 1,48,46,0.528409091
Snitz 1,49,44,0.352272727
Snitz 1,49,38,0.454545455
Snitz 1,49,45,0.676136364
Snitz 1,49,39,0.619318182
Snitz 1,49,40,0.647727273
Snitz 1,49,41,0.590909091
Snitz 1,49,46,0.602272727
Snitz 1,8,8,0.046875
Snitz 1,12,12,0.03125
Snitz 1,1,1,0.083333333
Snitz 1,9,9,0.083333333
Snitz 1,10,10,0.114583333
Snitz 1,11,11,0.145833333
Snitz 1,2,2,0.041666667
Snitz 1,3,3,0.041666667
Snitz 1,4,4,0.083333333
Snitz 1,5,5,0.125
Snitz 1,6,6,0.041666667
Snitz 1,7,7,0
Snitz 1,14,14,0.028846154
Snitz 1,15,15,0.067307692
Snitz 1,16,16,0.182692308
Snitz 1,17,17,0.125
Snitz 1,18,18,0.125
Snitz 1,19,19,0.182692308
Snitz 1,13,13,0.086538462
Snitz 1,20,20,0.086538462
Snitz 1,21,21,0.076923077
Snitz 1,22,22,0.086538462
Snitz 1,23,23,0.115384615
Snitz 1,24,24,0.057692308
Snitz 1,32,32,0
Snitz 1,36,36,0
Snitz 1,25,25,0.096153846
Snitz 1,33,33,0.057692308
Snitz 1,34,34,0.048076923
Snitz 1,35,35,0.173076923
Snitz 1,27,27,0.125
Snitz 1,31,31,0.25
Snitz 1,26,26,0.230769231
Snitz 1,26,26,0.096153846
Snitz 1,29,29,0.105769231
Snitz 1,30,30,0.096153846
Snitz 1,38,38,0.102272727
Snitz 1,39,39,0.284090909
Snitz 1,40,40,0.181818182
Snitz 1,41,41,0.136363636
Snitz 1,42,42,0.136363636
Snitz 1,43,43,0.238636364
Snitz 1,47,47,0.295454546
Snitz 1,48,48,0.204545455
Snitz 2,1,2,0.571079232
Snitz 2,1,3,0.617074811
Snitz 2,1,4,0.417794564
Snitz 2,5,6,0.702678919
Snitz 2,5,7,0.377680188
Snitz 2,5,3,0.403165774
Snitz 2,2,5,0.431679374
Snitz 2,2,6,0.688897466
Snitz 2,8,2,0.548093475
Snitz 2,8,9,0.441539564
Snitz 2,6,7,0.728967095
Snitz 2,6,10,0.715333919
Snitz 2,6,11,0.62178788
Snitz 2,12,5,0.707735537
Snitz 2,12,2,0.671511581
Snitz 2,12,6,0.640651637
Snitz 2,12,10,0.62904294
Snitz 2,7,1,0.641323935
Snitz 2,7,8,0.611684523
Snitz 2,3,12,0.706568159
Snitz 2,3,13,0.581259278
