Dataset,Mixture Label,smi_0,smi_1,smi_2,smi_3,smi_4,smi_5,smi_6,smi_7,smi_8,smi_9,smi_10,smi_11,smi_12,smi_13,smi_14,smi_15,smi_16,smi_17,smi_18,smi_19,smi_20,smi_21,smi_22,smi_23,smi_24,smi_25,smi_26,smi_27,smi_28,smi_29
Ravia,1,CC(C)C1=CC=C(C=C1)C=O,CCC1=NC=CN=C1,CC1=CC=CC=C1,CCCCSCCCC,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,2,CC(=O)C1=CC=CC=C1,C1=CC=C(C=C1)C=O,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,COC(=O)C1=CC=CC=C1N,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,3,CC1=CC(=O)CC(C1)(C)C,CCCCCOC(=O)CCCC,COC1=CC=CC=C1,CC1=CC=C(C=C1)OC(=O)C(C)C,COC1=C(C=CC(=C1)CC=C)O,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,4,CC(C)CCOC(=O)C,CCCCNCCCC,CCCC(=O)OCC,CCCCCC(C=C)O,CCCCCCCC1CCC(=O)O1,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,5,COC1=CC=CC=C1,CCCCNCCCC,CC1=CN=C(C=N1)C,CCCCCCO,CCCCCC1CCC(=O)O1,CCCCSCCCC,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,6,CC(=O)C1=CC=CC=C1,CC(C)C1=CC=C(C=C1)C=O,CC1(C2CCC(O1)(CC2)C)C,CCCC(=O)SC,CCCC(=O)OCCC,CC1=CC=CC=C1,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,7,C1=CC=C(C=C1)C=O,C1=CC=C(C=C1)/C=C/C=O,CC1=CC=C(C=C1)OC,CC1(C2CCC(O1)(CC2)C)C,CCCC(CC)O,CC(C1=CC=CC=C1)C(OC)OC,COC(=O)C1=CC=CC=C1N,,,,,,,,,,,,,,,,,,,,,,,
Ravia,8,CC(C)CCOC(=O)C,CCCCCOC(=O)CCCC,CCCCCCCO,CCCC(CC)O,COC1=CC=CC=C1,CCCCCC(C=C)O,CC1=CC=CC=C1C=O,,,,,,,,,,,,,,,,,,,,,,,
Ravia,9,CC1=CC(=O)CC(C1)(C)C,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,CCCCCCC=O,CCCCCCO,CCCCCC1CCC(=O)O1,CC1=CC2=C(C=C1)N=CC=C2,CCCCCCCCCOC(=O)C,CCCCCCCC1CCC(=O)O1,,,,,,,,,,,,,,,,,,,,,,
Ravia,10,CC(=O)C1=CC=CC=C1,CCC/C=C/C=O,CC1=CC=C(C=C1)OC(=O)C,COC1=CC=CC=C1,CCCCCCCO,CCCCCC1CCC(=O)O1,CC1=CCC2CC1C2(C)C,C1=CSC=C1,,,,,,,,,,,,,,,,,,,,,,
Ravia,11,CCCCCOC(=O)CCCC,CC1=CC=C(C=C1)OC(=O)C,CC1(C2CCC(O1)(CC2)C)C,COC1=C(C=CC(=C1)CC=C)O,COC(=O)C1=CC=CC=C1N,C=CCCC(=O)O,CCCCSCCCC,C1=CC=C(C=C1)CCO,CC1=CC=CC=C1C=O,,,,,,,,,,,,,,,,,,,,,
Ravia,12,CCC/C=C/C=O,C1=CC=C(C=C1)/C=C/C=O,CC1=CC=C(C=C1)OC(=O)C(C)C,CCCC(CC)O,COC(=O)C1=CC=CC=C1O,CCCCC(=O)O,C1=CC=C(C=C1)CCO,CCCC(=O)OCCC,CCCCCCCC1CCC(=O)O1,,,,,,,,,,,,,,,,,,,,,
Ravia,13,CC1=CC=C(C=C1)OC(=O)C,CC1=CC=C(C=C1)OC,C1CCC(CC1)O,COC1=C(C=CC(=C1)CC=C)O,CC(C1=CC=CC=C1)C(OC)OC,CC1=CC2=C(C=C1)N=CC=C2,CCCCC(=O)O,C=CCCC(=O)O,C1=CC=C(C=C1)CCO,CCCCSCCCC,,,,,,,,,,,,,,,,,,,,
Ravia,14,C1=CC=C(C=C1)C=O,CC1(C2CCC(O1)(CC2)C)C,CCCCCCC=O,CCCCCCCO,CCCCCC1CCC(=O)O1,CC1=CC2=C(C=C1)N=CC=C2,COC(=O)C1=CC=CC=C1O,CCCCCCCCCOC(=O)C,CCCCCCCCO,CC1=CCC2CC1C2(C)C,,,,,,,,,,,,,,,,,,,,
Ravia,15,CCOC(=O)CCSCC1=CC=CO1,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,CC(=O)C1=CC=CC=C1N,CC1=C2C(=CC=C1)N=CC=N2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,16,CSCCCN=C=S,CC1CCC(C(C1)OC(=O)CC(C)C)C(C)C,CC(C)CCS,C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,17,CCCCCC/C=C/C(=O)C,CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C,C1=CC(=CC=C1C=O)O,CCOC(=O)C1=CC=CO1,CCCC(CC(=O)OCC)O,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,18,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2,CCCCCCCCCC1CCCC(=O)O1,CC1=C2C(=CC=C1)N=CC=N2,C/C=C/C1=CC(=C(C=C1)OC)OC,COC1=CC=CC=C1S,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,19,C1=CC(=CC=C1C=O)O,CCCCCCCCCC1CCCC(=O)O1,CC(=O)C1=CC2=CC=CC=C2C=C1,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,CC(C)CCOC(=O)/C=C/C1=CC=CC=C1,CC/C=C\CCOC(=O)C(C)O,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,20,CC(=O)C1=CC(=C(C=C1)O)OC,CCOC(=O)CCSCC1=CC=CO1,CCCCCCCCCCC(=O)O,CCSSCC,CC(C)C1=CC=C(C=C1)CO,CC(=O)C1=CC=CC=C1N,,,,,,,,,,,,,,,,,,,,,,,,
Ravia,21,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,CC(C)COC(=O)/C=C/C1=CC=CC=C1,COC1=CC=CC=C1OC(=O)CC2=CC=CC=C2,CCCCCCCCCCC(=O)O,CCCCCC(C=C)OC(=O)C,CCOC1=CC=C(C=C1)C=O,C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2,,,,,,,,,,,,,,,,,,,,,,,
Ravia,22,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2,CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C,CC(C)CO,CCCCCC(C=C)OC(=O)C,C1=CC(=CC=C1C=O)O,C/C=C/C1=CC(=C(C=C1)OC)OC,C1=CC=C(C=C1)CSSCC2=CC=CC=C2,,,,,,,,,,,,,,,,,,,,,,,
Ravia,23,CCCCCC/C=C/C(=O)C,CC(C)CCS,CC/C=C\CCOC(=O)CC,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,CC(C)CCOC(=O)/C=C/C1=CC=CC=C1,CCC(=O)OCC1=CC=CC=C1,CCOC(C)OCC,COC1=CC=CC=C1S,,,,,,,,,,,,,,,,,,,,,,
Ravia,24,CSCCCN=C=S,CCOC(=O)/C=C/C=C/C,C1=CC=C(C=C1)COCC2=CC=CC=C2,CCC1=CC=CC=C1O,CC(C)CO,CC(C)CCOC(=O)/C=C/C1=CC=CC=C1,CCC1=CC=CO1,CC(=O)C1=CC(=C(C=C1)O)OC,,,,,,,,,,,,,,,,,,,,,,
Ravia,25,CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C,C1=CC=C(C=C1)COCC2=CC=CC=C2,CC(=O)C1=CC2=CC=CC=C2C=C1,CCCC(CC(=O)OCC)O,C1=CC=C(C=C1)CC(=O)CC2=CC=CC=C2,CC/C=C\CCOC(=O)CC1=CC=CC=C1,CC/C=C\CCOC(=O)C(C)O,CC1=CC(=C(C=C1)C(C)C)OC,C1=CC=C(C=C1)CSSCC2=CC=CC=C2,,,,,,,,,,,,,,,,,,,,,
Ravia,26,CCOC(=O)/C=C/C=C/C,CC(C)COC(=O)/C=C/C1=CC=CC=C1,CCOC(=O)C1=CC=CO1,CCC(C)C1CCCCC1=O,C1=CC=C(C(=C1)C=O)O,C(=C/C(=O)O)\C(=O)O,CC1=CC(=C(C=C1)C(C)C)OC,CC(C)C1=CC=C(C=C1)CO,COC1=CC=CC=C1S,,,,,,,,,,,,,,,,,,,,,
Ravia,27,C1=CC=C(C=C1)COCC2=CC=CC=C2,COC1=CC=CC=C1OC(=O)CC2=CC=CC=C2,CCC(C)C1CCCCC1=O,CCCC(CC(=O)OCC)O,CCOC1=CC=C(C=C1)C=O,CCC(=O)OCC1=CC=CC=C1,C(=C/C(=O)O)\C(=O)O,CC/C=C\CCOC(=O)CC1=CC=CC=C1,CC1=CC(=C(C=C1)C(C)C)OC,CC/C=C\CCOC(=O)C(C)O,,,,,,,,,,,,,,,,,,,,
Ravia,28,CC1CCC(C(C1)OC(=O)CC(C)C)C(C)C,CCCCCCCCCCC(=O)O,CC/C=C\CCOC(=O)CC,CC(C)CO,CCSSCC,CCC(=O)OCC1=CC=CC=C1,C1=CC=C(C(=C1)C=O)O,CCOC(C)OCC,CCC1=CC=CC=C1O,CCC1=CC=CO1,,,,,,,,,,,,,,,,,,,,
Ravia,29,COC1=C(C=CC(=C1)CC=C)O,CC(C)C1=CC=CC=C1,CC1=CC=C(C=C1)OC(=O)C(C)C,CC(CCCC(C)(C)O)CC=O,CCCCCCCCCCO,CCCCCOC(=O)CCC,CCCCCCCC(=O)C,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,CC1=CC[C@H](CC1=O)C(=C)C,C/C=C(\C)/C(=O)OC,,,,,,,,,,,,,,,,,,,,
