Dataset,Mixture 1,Mixture 2,Experimental Values,Category,Idx_DREAM,Difference
Snitz 1,1.0,2.0,0.604166666667,train,0.0,3.33299998711567e-09
Snitz 1,1.0,3.0,0.6510416666669999,train,1.0,3.3330000981379726e-09
Snitz 1,1.0,5.0,0.505208333333,train,2.0,3.33299998711567e-09
Snitz 1,1.0,6.0,0.4114583333329999,train,3.0,3.33299998711567e-09
Snitz 1,1.0,7.0,0.5625,train,4.0,0.0
Snitz 1,3.0,38.0,0.778409090909,train,5.0,9.089999863931552e-10
Snitz 1,3.0,39.0,0.7727272727269999,train,6.0,2.7269999591794662e-09
Snitz 1,3.0,40.0,0.7272727272730001,train,7.0,2.7269999591794662e-09
Snitz 1,3.0,41.0,0.693181818182,train,8.0,1.8179999727863103e-09
Snitz 1,8.0,2.0,0.7552083333330001,train,9.0,3.3330000981379726e-09
Snitz 1,8.0,3.0,0.6848958333330001,train,10.0,3.3330000981379726e-09
Snitz 1,8.0,4.0,0.8489583333330001,train,11.0,3.3330000981379726e-09
Snitz 1,8.0,5.0,0.765625,train,12.0,0.0
Snitz 1,8.0,6.0,0.8072916666669999,train,13.0,3.3330000981379726e-09
Snitz 1,8.0,7.0,0.901041666667,train,14.0,3.3330000981379726e-09
Snitz 1,9.0,2.0,0.567708333333,train,15.0,3.33299998711567e-09
Snitz 1,9.0,3.0,0.671875,train,16.0,0.0
Snitz 1,9.0,4.0,0.424479166667,train,17.0,3.33299998711567e-09
Snitz 1,9.0,5.0,0.390625,train,18.0,0.0
Snitz 1,9.0,6.0,0.447916666667,train,19.0,3.33299998711567e-09
Snitz 1,9.0,7.0,0.619791666667,train,20.0,3.33299998711567e-09
Snitz 1,10.0,2.0,0.567708333333,train,21.0,3.33299998711567e-09
Snitz 1,10.0,4.0,0.541666666667,train,22.0,3.33299998711567e-09
Snitz 1,10.0,5.0,0.369791666667,train,23.0,3.33299998711567e-09
Snitz 1,10.0,6.0,0.4114583333329999,train,24.0,3.33299998711567e-09
Snitz 1,10.0,7.0,0.4583333333329999,train,25.0,3.33299998711567e-09
Snitz 1,11.0,2.0,0.510416666667,train,26.0,3.33299998711567e-09
Snitz 1,11.0,3.0,0.7135416666669999,train,27.0,3.3330000981379726e-09
Snitz 1,11.0,4.0,0.46875,train,28.0,0.0
Snitz 1,11.0,5.0,0.34375,train,29.0,0.0
Snitz 1,11.0,6.0,0.3802083333329999,train,30.0,3.33299998711567e-09
Snitz 1,11.0,7.0,0.552083333333,train,31.0,3.33299998711567e-09
Snitz 1,12.0,2.0,0.7708333333330001,train,32.0,3.3330000981379726e-09
Snitz 1,12.0,3.0,0.765625,train,33.0,0.0
Snitz 1,12.0,4.0,0.6979166666669999,train,34.0,3.3330000981379726e-09
Snitz 1,12.0,5.0,0.6822916666669999,train,35.0,3.3330000981379726e-09
Snitz 1,12.0,6.0,0.630208333333,train,36.0,3.33299998711567e-09
Snitz 1,12.0,7.0,0.7109375,train,37.0,0.0
Snitz 1,13.0,14.0,0.754807692308,train,38.0,2.3080000133290923e-09
Snitz 1,13.0,15.0,0.701923076923,train,39.0,3.0769999881385957e-09
Snitz 1,13.0,16.0,0.706730769231,train,40.0,7.689999748095031e-10
