Dataset,CID,IsomericSMILES
Bushdid,7793,C[C@@H](CCC=C(C)C)CCO
Bushdid,12232,CSSC
Bushdid,8103,CCCCCCO
Bushdid,7463,CC1=CC=C(C=C1)C(C)C
Bushdid,18827,CCCCCC(C=C)O
Bushdid,22201,CC1=NC=CN=C1C
Bushdid,5283349,CCCCC/C=C/C=C/C=O
Bushdid,26331,CCC1=NC=CN=C1
Bushdid,612,CC(C(=O)O)O
Bushdid,7460,CC1=CCC(C=C1)C(C)C
Bushdid,6561,CC(C)C=O
Bushdid,6590,CC(C)C(=O)O
Bushdid,1060,CC(=O)C(=O)O
Bushdid,62336,CC(C1=CC=CC=C1)C(OC)OC
Bushdid,7654,CC(=O)OCCC1=CC=CC=C1
Bushdid,12178,CCCC(CC)O
Bushdid,62465,CCC1=CC(=C(C=C1)O)OC
Bushdid,31244,COC1=CC=C(C=C1)C=O
Bushdid,7731,CC1=CC=C(C=C1)OC
Bushdid,8858,CC(=CC(=O)C)C
Bushdid,61138,C=CCCC(=O)O
Bushdid,177,CC=O
Bushdid,176,CC(=O)O
Bushdid,179,CC(C(=O)C)O
Bushdid,7410,CC(=O)C1=CC=CC=C1
Bushdid,6654,CC1=CCC2CC1C2(C)C
Bushdid,10890,CCCCCOC(=O)CCC
Bushdid,7519,COC1=CC=CC=C1
Bushdid,240,C1=CC=C(C=C1)C=O
Bushdid,15380,CSCSC
Bushdid,261,CCCC=O
Bushdid,10560,CCC(C)S
Bushdid,264,CCCC(=O)O
Bushdid,31272,CCCCOC(=O)C
Bushdid,11002,CCCCSCCCC
Bushdid,5281515,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C
Bushdid,5373603,CC/C=C\1/C2=CC=CC=C2C(=O)O1
Bushdid,6982,CC1=CC(=C(C=C1Cl)C(C)C)O
Bushdid,637511,C1=CC=C(C=C1)/C=C/C=O
Bushdid,326,CC(C)C1=CC=C(C=C1)C=O
Bushdid,7966,C1CCC(CC1)O
Bushdid,12741,CCCCCCCCC(=O)C
Bushdid,2969,CCCCCCCCCC(=O)O
Bushdid,8148,CCCCNCCCC
Bushdid,31249,CCOC(=O)CCC(=O)OCC
Bushdid,24915,CCCC(=O)OC(C)(C)CC1=CC=CC=C1
Bushdid,19310,CSSSC
Bushdid,7583,C1=CC=C(C=C1)OC2=CC=CC=C2
Bushdid,7344,CCOC(=O)C(C)O
Bushdid,7165,CCOC(=O)C1=CC=CC=C1
Bushdid,7762,CCCC(=O)OCC
Bushdid,8048,CCCCCCCCCC(=O)OCC
Bushdid,8025,CCOC=O
Bushdid,31265,CCCCCC(=O)OCC
Bushdid,7799,CCCCCCCC(=O)OCC
Bushdid,10882,CCCCC(=O)OCC
Bushdid,7749,CCC(=O)OCC
Bushdid,2758,CC1(C2CCC(O1)(CC2)C)C
Bushdid,3314,COC1=C(C=CC(=C1)CC=C)O
Bushdid,7363,C1=COC(=C1)CS
Bushdid,7710,CCCCCC1CCC(=O)O1
Bushdid,7714,CCCCCCCC1CCC(=O)O1
Bushdid,7921,CC1CCC(=O)O1
Bushdid,637566,CC(=CCC/C(=C/CO)/C)C
Bushdid,460,COC1=CC=CC=C1O
Bushdid,10976,CCCCCC(C)O
Bushdid,8051,CCCCCC(=O)C
Bushdid,8130,CCCCCCC=O
Bushdid,11509,CCCC(=O)CC
Bushdid,6184,CCCCCC=O
Bushdid,8892,CCCCCC(=O)O
Bushdid,22873,CCCCCCOC(=O)CCCCC
Bushdid,7888,CC(CCCC(C)(C)O)CC=O
Bushdid,798,C1=CC=C2C(=C1)C=CN2
Bushdid,31276,CC(C)CCOC(=O)C
Bushdid,93009,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C
Bushdid,7600,CC(C)CCOC(=O)CC1=CC=CC=C1
Bushdid,6544,CC1=CC(=O)CC(C1)(C)C
Bushdid,11552,CC(C)CC=O
Bushdid,10430,CC(C)CC(=O)O
Bushdid,440967,CC1([C@H]2CCC(=C)[C@@H]1C2)C
Bushdid,440917,CC1=CC[C@@H](CC1)C(=C)C
Bushdid,443158,CC(=CCC[C@](C)(C=C)O)C
Bushdid,16666,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C
Bushdid,61016,CC(CCC=C(C)C)C=O
Bushdid,8635,COC(=O)C1=CC=CC=C1N
Bushdid,7150,COC(=O)C1=CC=CC=C1
Bushdid,12180,CCCC(=O)OC
Bushdid,8091,CCCCCCCC(=O)OC
Bushdid,11124,CCC(=O)OC
Bushdid,4133,COC(=O)C1=CC=CC=C1O
Bushdid,1068,CSC
Bushdid,7632,CC(C)(CCC1=CC=CC=C1)O
Bushdid,91497,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C
Bushdid,12367,CCCCCCCC(C)O
Bushdid,8918,CCCCCCCCCOC(=O)C
Bushdid,454,CCCCCCCC=O
Bushdid,14286,CC(=O)C1=CC=CC=N1
Bushdid,10722,CC1=CC=CC=C1C=O
Bushdid,7059,CC1=CC2=C(C=C1)N=CC=C2
Bushdid,2879,CC1=CC=C(C=C1)O
Bushdid,8797,CC1=CC=C(C=C1)OC(=O)C
Bushdid,7685,CC1=CC=C(C=C1)OC(=O)C(C)C
Bushdid,12020,CCC(C=C)O
Bushdid,22386,CCCC(C)O
Bushdid,7991,CCCCC(=O)O
Bushdid,12348,CCCCCOC(=O)C
Bushdid,62433,CCCCCOC(=O)CCCC
Bushdid,999,C1=CC=C(C=C1)CC(=O)O
Bushdid,10821,C#CC1=CC=CC=C1
Bushdid,6054,C1=CC=C(C=C1)CCO
Bushdid,1031,CCCO
Bushdid,3776,CC(C)O
Bushdid,180,CC(=O)C
Bushdid,7848,CCCS
Bushdid,8118,CCCSCCC
Bushdid,62444,CCCC(=O)SC
Bushdid,6736,CC1=CNC2=CC=CC=C12
Bushdid,6501,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2
Bushdid,1127,C1CCSC1
Bushdid,8030,C1=CSC=C1
Bushdid,6989,CC1=CC(=C(C=C1)C(C)C)O
Bushdid,1140,CC1=CC=CC=C1
Bushdid,5281168,CCC/C=C/C=O
Bushdid,1146,CN(C)C
Bushdid,8186,CCCCCCCCCCC=O
Bushdid,5634,C=CCCCCCCCCC(=O)O
Bushdid,443162,CC1=CC[C@H](CC1)C(C)(C)O
