Dataset,CID,IsomericSMILES
"Ravia 4,5",7799,CCCCCCCC(=O)OCC
"Ravia 4,5",1068,CSC
"Ravia 4,5",6590,CC(C)C(=O)O
"Ravia 4,5",31244,COC1=CC=C(C=C1)C=O
"Ravia 4,5",1031,CCCO
"Ravia 4,5",176,CC(=O)O
"Ravia 4,5",180,CC(=O)C
"Ravia 4,5",3776,CC(C)O
"Ravia 4,5",7363,C1=COC(=C1)CS
"Ravia 4,5",7150,COC(=O)C1=CC=CC=C1
"Ravia 4,5",14286,CC(=O)C1=CC=CC=N1
"Ravia 4,5",61138,C=CCCC(=O)O
"Ravia 4,5",8025,CCOC=O
"Ravia 4,5",19310,CSSSC
"Ravia 4,5",6561,CC(C)C=O
"Ravia 4,5",7793,C[C@@H](CCC=C(C)C)CCO
"Ravia 4,5",443158,CC(=CCC[C@](C)(C=C)O)C
"Ravia 4,5",264,CCCC(=O)O
"Ravia 4,5",11552,CC(C)CC=O
"Ravia 4,5",12020,CCC(C=C)O
"Ravia 4,5",22386,CCCC(C)O
"Ravia 4,5",62336,CC(C1=CC=CC=C1)C(OC)OC
"Ravia 4,5",527,CCC=O
"Ravia 4,5",263,CCCCO
"Ravia 4,5",9609,CCSCC
"Ravia 4,5",6584,CC(=O)OC
"Ravia 4,5",1032,CCC(=O)O
"Ravia 4,5",6569,CCC(=O)C
"Ravia 4,5",84682,CC[C@@H](C)O
"Ravia 4,5",8063,CCCCC=O
"Ravia 4,5",6276,CCCCCO
"Ravia 4,5",10448,CSCCCO
"Ravia 4,5",8857,CCOC(=O)C
"Ravia 4,5",7895,CCCC(=O)C
"Ravia 4,5",7284,CCC(C)C=O
"Ravia 4,5",11173,CC(=CCO)C
"Ravia 4,5",261,CCCC=O
"Ravia 4,5",5284503,CC/C=C/CCO
"Ravia 4,5",5318042,CCC/C=C/CO
"Ravia 4,5",8103,CCCCCCO
"Ravia 4,5",637566,CC(=CCC/C(=C/CO)/C)C
"Ravia 4,5",638011,CC(=CCC/C(=C/C=O)/C)C
"Ravia 4,5",637776,C/C=C/C1=CC(=C(C=C1)OC)OC
"Ravia 4,5",10890,CCCCCOC(=O)CCC
"Ravia 4,5",24915,CCCC(=O)OC(C)(C)CC1=CC=CC=C1
"Ravia 4,5",31266,CCCCCC(=O)OCC=C
"Ravia 4,5",6184,CCCCCC=O
"Ravia 4,5",3314,COC1=C(C=CC(=C1)CC=C)O
"Ravia 4,5",8842,CC(CCC=C(C)C)CCO
"Ravia 4,5",10430,CC(C)CC(=O)O
