Dataset,CID,IsomericSMILES
Snitz,58,CCC(=O)C(=O)O
Snitz,107,C1=CC=C(C=C1)CCC(=O)O
Snitz,176,CC(=O)O
Snitz,177,CC=O
Snitz,179,CC(C(=O)C)O
Snitz,180,CC(=O)C
Snitz,196,C(CCC(=O)O)CC(=O)O
Snitz,229,C1C(C(C(C(O1)O)O)O)O
Snitz,235,C(C(C1C(=O)C(=C(O1)O)O)O)O
Snitz,239,C(CN)C(=O)O
Snitz,240,C1=CC=C(C=C1)C=O
Snitz,242,C1=CC=C(C=C1)C(=O)[O-]
Snitz,243,C1=CC=C(C=C1)C(=O)O
Snitz,244,C1=CC=C(C=C1)CO
Snitz,261,CCCC=O
Snitz,263,CCCCO
Snitz,264,CCCC(=O)O
Snitz,284,C(=O)O
Snitz,307,C1=CC=C(C=C1)C=CC=O
Snitz,308,C1=CC=C(C=C1)C=CCO
Snitz,323,C1=CC=C2C(=C1)C=CC(=O)O2
Snitz,325,CC(C)C1=CC=C(C=C1)CO
Snitz,326,CC(C)C1=CC=C(C=C1)C=O
Snitz,332,COC1=C(C=CC(=C1)C=C)O
Snitz,335,CC1=CC=CC=C1O
Snitz,342,CC1=CC(=CC=C1)O
Snitz,379,CCCCCCCC(=O)O
Snitz,453,C(C(C(C(C(CO)O)O)O)O)O
Snitz,454,CCCCCCCC=O
Snitz,460,COC1=CC=CC=C1O
Snitz,527,CCC=O
Snitz,594,C(C(C(=O)O)N)S
Snitz,602,CC(C(=O)O)N
Snitz,611,C(CC(=O)O)C(C(=O)O)N
Snitz,612,CC(C(=O)O)O
Snitz,650,CC(=O)C(=O)C
Snitz,660,C1CC(=O)OC2=CC=CC=C21
Snitz,723,C(=CC(=O)O)C(=O)O
Snitz,750,C(C(=O)O)N
Snitz,753,C(C(CO)O)O
Snitz,791,CCC(C)C(C(=O)O)N
Snitz,798,C1=CC=C2C(=C1)C=CN2
Snitz,854,C(C(C(C(C=O)O)O)O)O
Snitz,857,CC(C)CC(C(=O)O)N
Snitz,875,C(C(C(=O)O)O)(C(=O)O)O
Snitz,876,CSCCC(C(=O)O)N
Snitz,880,CC(=O)C=O
Snitz,957,CCCCCCCCO
Snitz,965,CCCCCCCCC=CCCCCCCCC(=O)O
Snitz,985,CCCCCCCCCCCCCCCC(=O)O
Snitz,993,C(C1C(C(C(O1)O)O)O)O
Snitz,996,C1=CC=C(C=C1)O
Snitz,998,C1=CC=C(C=C1)CC=O
Snitz,999,C1=CC=C(C=C1)CC(=O)O
Snitz,1001,C1=CC=C(C=C1)CCN
Snitz,1030,CC(CO)O
Snitz,1031,CCCO
Snitz,1032,CCC(=O)O
Snitz,1049,C1=CC=NC=C1
Snitz,1060,CC(=O)C(=O)O
Snitz,1068,CSC
Snitz,1127,C1CCSC1
Snitz,1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
Snitz,1136,CC1=C(SC=N1)CCO
Snitz,1140,CC1=CC=CC=C1
Snitz,1146,CN(C)C
Snitz,1153,C1=CC(=CC=C1CC(C(=O)O)N)O
Snitz,1182,CC(C)C(C(=O)O)N
Snitz,1183,COC1=C(C=CC(=C1)C=O)O
Snitz,1254,CC1CCC(C(C1)O)C(C)C
Snitz,2214,CC(=O)C1=CC(=C(C=C1)O)OC
Snitz,2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
Snitz,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
Snitz,2537,CC1(C2CCC1(C(=O)C2)C)C
Snitz,2682,CCCCCCCCCCCCCCCCO
Snitz,2758,CC1(C2CCC(O1)(CC2)C)C
Snitz,2879,CC1=CC=C(C=C1)O
Snitz,2969,CCCCCCCCCC(=O)O
Snitz,3102,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2
Snitz,3314,COC1=C(C=CC(=C1)CC=C)O
Snitz,3327,CC(=CCCC(=CCCC(=CCO)C)C)C
Snitz,3776,CC(C)O
Snitz,3893,CCCCCCCCCCCC(=O)O
Snitz,3931,CCCCCC=CCC=CCCCCCCCC(=O)O
Snitz,4133,COC(=O)C1=CC=CC=C1O
Snitz,4458,CC(=CCCC(=CCO)C)C
Snitz,4840,C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3
Snitz,4943,CC(C)C1=C(C(=CC=C1)C(C)C)O
Snitz,5054,C1=CC(=CC(=C1)O)O
Snitz,5144,C=CCC1=CC2=C(C=C1)OCO2
Snitz,5541,CC(=O)OCC(COC(=O)C)OC(=O)C
Snitz,5566,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
Snitz,5634,C=CCCCCCCCCC(=O)O
Snitz,5779,C([C@@H]1[C@H]([C@H](C(O1)O)O)O)O
Snitz,5780,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O
