epoch,train_loss,val_loss,val_metric,dataset
0,0.23363660259002988,0.12547306716442108,0.5326807498931885,leffingwell
0,0.5271119643812594,0.4382120668888092,0.28017884492874146,mayhew_2022
0,0.23378670898576578,0.135843887925148,0.4996824264526367,gs-lf
0,0.33151175865235166,0.23317634065945944,0.4375140070915222,average
1,0.12315777316689491,0.12431752681732178,0.5115631818771362,leffingwell
1,0.43702281428420026,0.4445808529853821,0.4976154863834381,mayhew_2022
1,0.13284432503084342,0.13483692705631256,0.4989076554775238,gs-lf
1,0.23100830416064622,0.23457843561967215,0.5026954412460327,average
2,0.12049887989732352,0.12414190918207169,0.5246086716651917,leffingwell
2,0.419001416667648,0.5311868190765381,0.39785394072532654,mayhew_2022
2,0.1325761556625366,0.13425247371196747,0.5397204756736755,gs-lf
2,0.22402548407583608,0.2631937339901924,0.4873943626880646,average
3,0.12030085785822435,0.12408515065908432,0.5322161316871643,leffingwell
3,0.37816047020580457,0.481026291847229,0.574068546295166,mayhew_2022
3,0.132535653313001,0.13410742580890656,0.542107343673706,gs-lf
3,0.21033232712567665,0.24640628943840662,0.5494640072186788,average
4,0.12009370259263298,0.12362869828939438,0.5430355072021484,leffingwell
4,0.37656113051849865,0.6473811864852905,0.3502831757068634,mayhew_2022
4,0.13262156049410503,0.1338348686695099,0.5465216040611267,gs-lf
4,0.20975879786841223,0.3016149178147316,0.4799467623233795,average
5,0.11976333301175725,0.12341263890266418,0.5563361644744873,leffingwell
5,0.37041953724363574,0.6353092789649963,0.3692995309829712,mayhew_2022
5,0.1327146836866935,0.1332264542579651,0.55843186378479,gs-lf
5,0.20763251798069549,0.2973161240418752,0.4946891864140828,average
6,0.11990405788475816,0.12246065586805344,0.5581406950950623,leffingwell
6,0.32094802804615186,0.519119918346405,0.5364530086517334,mayhew_2022
6,0.13331287863353888,0.13360236585140228,0.5445024967193604,gs-lf
6,0.19138832152148297,0.2583943133552869,0.5463654001553854,average
7,0.1194208176298575,0.1222573071718216,0.5936499834060669,leffingwell
7,0.344809903398804,0.4731055796146393,0.504381537437439,mayhew_2022
7,0.13101475660999615,0.1318722516298294,0.5987623929977417,gs-lf
7,0.19841515921288588,0.24241171280543009,0.5655979712804159,average
8,0.1178080380301584,0.12031584978103638,0.609382688999176,leffingwell
8,0.310589924454689,0.5390734672546387,0.5810431838035583,mayhew_2022
8,0.1299919806420803,0.1308470219373703,0.6150522232055664,gs-lf
8,0.18612998104230924,0.26341211299101513,0.601826032002767,average
9,0.11615663648328999,0.11892566084861755,0.6428637504577637,leffingwell
9,0.26422024161919305,0.37246355414390564,0.807451605796814,mayhew_2022
9,0.12919000883897144,0.13028885424137115,0.6274616718292236,gs-lf
9,0.1698556289804848,0.20722602307796478,0.6925923426946005,average
10,0.11542256650599567,0.11787531524896622,0.6555723547935486,leffingwell
10,0.24286567257798236,0.39011362195014954,0.8572279214859009,mayhew_2022
10,0.129317141075929,0.12857548892498016,0.6474451422691345,gs-lf
10,0.162535126719969,0.2121881420413653,0.7200818061828613,average
11,0.11423088220710104,0.1154426857829094,0.694004237651825,leffingwell
11,0.22896239420642023,0.344849169254303,0.859970211982727,mayhew_2022
11,0.12673047905166943,0.1275174766778946,0.6645789742469788,gs-lf
11,0.15664125182173025,0.19593644390503565,0.7395178079605103,average
12,0.11261416260491718,0.11408944427967072,0.7090958952903748,leffingwell
12,0.20800931589758914,0.3391503095626831,0.8529359698295593,mayhew_2022
12,0.12723608513673146,0.12762045860290527,0.6673242449760437,gs-lf
12,0.14928652121307925,0.19362007081508636,0.7431187033653259,average
13,0.11303048242222179,0.11439013481140137,0.7063425183296204,leffingwell
13,0.2178765930559324,0.3092840909957886,0.8797615170478821,mayhew_2022
13,0.1250876571983099,0.1258769929409027,0.6889083385467529,gs-lf
13,0.15199824422548802,0.18318373958269754,0.7583374579747518,average
14,0.11042864315889099,0.1124214306473732,0.7327884435653687,leffingwell
14,0.20760891262603842,0.320382297039032,0.8876304626464844,mayhew_2022
14,0.12358213899036248,0.12439163774251938,0.7086237668991089,gs-lf
14,0.1472065649250973,0.1857317884763082,0.7763475577036539,average
15,0.10914545032111081,0.11148626357316971,0.73811936378479,leffingwell
15,0.1939943763224975,0.31296253204345703,0.883934497833252,mayhew_2022
15,0.12201261619726816,0.12256865203380585,0.7252406477928162,gs-lf
15,0.14171748094695882,0.18233914921681085,0.7824315031369528,average
16,0.10731510022147135,0.1091373935341835,0.765762984752655,leffingwell
16,0.22186327450301335,0.303405225276947,0.88190758228302,mayhew_2022
16,0.12200053185224533,0.12102167308330536,0.7382850050926208,gs-lf
16,0.15039296885891,0.17785476396481195,0.7953185240427653,average
17,0.10624035346237096,0.10805071145296097,0.7705835103988647,leffingwell
17,0.2105545482557753,0.370919793844223,0.8618181347846985,mayhew_2022
17,0.1208253663033247,0.12000660598278046,0.7539586424827576,gs-lf
17,0.14587342267382367,0.19965903709332147,0.7954534292221069,average
18,0.10429192368279804,0.10683871805667877,0.7865918874740601,leffingwell
18,0.2090766429901123,0.30982983112335205,0.8834574818611145,mayhew_2022
18,0.12009166938563189,0.11779162287712097,0.7717685699462891,gs-lf
18,0.14448674535284742,0.17815339068571726,0.8139393130938212,average
19,0.1028373067013242,0.10463307052850723,0.8070416450500488,leffingwell
19,0.236649372169505,0.3476858139038086,0.8350521922111511,mayhew_2022
19,0.1195547204464674,0.1177305057644844,0.7730557322502136,gs-lf
19,0.1530137997724322,0.1900164633989334,0.8050498565038046,average
20,0.10232418657026508,0.10395201295614243,0.8065794706344604,leffingwell
20,0.18701888167339822,0.3309308588504791,0.8774962425231934,mayhew_2022
20,0.11815821689863999,0.11631131172180176,0.7835270762443542,gs-lf
20,0.13583376171410108,0.18373139450947443,0.8225342631340027,average
21,0.10031726295975121,0.10248713195323944,0.8175542950630188,leffingwell
21,0.18868504108294196,0.31942102313041687,0.8775558471679688,mayhew_2022
21,0.1153744046886762,0.11437417566776276,0.7967765927314758,gs-lf
21,0.1347922362437898,0.17876077691713968,0.8306289116541544,average
22,0.09848831593990326,0.10143284499645233,0.8269222974777222,leffingwell
22,0.23739192780593169,0.349910706281662,0.8387480974197388,mayhew_2022
22,0.11800958700478077,0.11456342786550522,0.795548677444458,gs-lf
22,0.15129661025020522,0.18863565971453986,0.8204063574473063,average
23,0.09936734204265205,0.10105246305465698,0.8293688893318176,leffingwell
23,0.17588451051193735,0.3200770616531372,0.8760655522346497,mayhew_2022
23,0.11375364636381467,0.11365307867527008,0.8031225204467773,gs-lf
23,0.12966849963946803,0.17826086779435477,0.8361856540044149,average
24,0.09761539982123808,0.09980258345603943,0.832901656627655,leffingwell
24,0.17723488937253537,0.363177627325058,0.8614009022712708,mayhew_2022
24,0.1125473457078139,0.11183332651853561,0.809820294380188,gs-lf
24,0.12913254496719578,0.191604512433211,0.8347076177597046,average
25,0.0967998533425006,0.09909921139478683,0.8365668654441833,leffingwell
25,0.1707807183265686,0.34276020526885986,0.8642622828483582,mayhew_2022
25,0.11623661468426387,0.11298806220293045,0.8056033849716187,gs-lf
25,0.1279390621177777,0.18494915962219238,0.8354775110880533,average
26,0.09785437651655891,0.09936490654945374,0.8369975090026855,leffingwell
26,0.16516271492709284,0.444752961397171,0.8610431551933289,mayhew_2022
26,0.11159224845468999,0.11088991165161133,0.8123838305473328,gs-lf
26,0.12486977996611393,0.21833592653274536,0.8368081649144491,average
27,0.09582785381512209,0.09839818626642227,0.8409584760665894,leffingwell
27,0.19315268552821616,0.34412410855293274,0.8441132307052612,mayhew_2022
27,0.11218033470213414,0.1107761487364769,0.8145200610160828,gs-lf
27,0.13372029134849078,0.18443281451861063,0.8331972559293112,average
28,0.09545364027673547,0.09748794883489609,0.845294177532196,leffingwell
28,0.18114247756159824,0.3336082994937897,0.85633385181427,mayhew_2022
28,0.111928632731239,0.11087628453969955,0.8168352842330933,gs-lf
28,0.12950825018985757,0.18065751095612845,0.8394877711931864,average
29,0.09509039856493473,0.09806658327579498,0.8453940153121948,leffingwell
29,0.1615781128892432,0.3015730082988739,0.8966914415359497,mayhew_2022
29,0.11059378646314144,0.11025716364383698,0.8177505731582642,gs-lf
29,0.12242076597243978,0.1699655850728353,0.8532786766688029,average
30,0.09469774907285516,0.09763910621404648,0.8459975123405457,leffingwell
30,0.15432911285239717,0.40716901421546936,0.8619970083236694,mayhew_2022
30,0.11213799640536308,0.11000769585371017,0.8200477361679077,gs-lf
30,0.12038828611020513,0.204938605427742,0.8426807522773743,average
31,0.09418426217003302,0.09721597284078598,0.8483749628067017,leffingwell
31,0.19705999934155008,0.3330804407596588,0.8550223708152771,mayhew_2022
31,0.1105589581032594,0.11083139479160309,0.8215143084526062,gs-lf
31,0.13393440653828084,0.18037593613068262,0.8416372140248617,average
32,0.09340353919701143,0.1001974418759346,0.8498114347457886,leffingwell
32,0.14776234134383823,0.3333028256893158,0.8737406730651855,mayhew_2022
32,0.10942786398033301,0.10866636037826538,0.8259084820747375,gs-lf
32,0.11686458150706087,0.18072220931450525,0.8498201966285706,average
33,0.0930223111063242,0.09573578834533691,0.8525391817092896,leffingwell
33,0.1572272139398948,0.3419724106788635,0.8776155114173889,mayhew_2022
33,0.108846398939689,0.10811704397201538,0.8269244432449341,gs-lf
33,0.119698641328636,0.18194174766540527,0.8523597121238708,average
34,0.09246232953261245,0.09577921777963638,0.8559296131134033,leffingwell
34,0.16167799318614212,0.33727017045021057,0.8656333684921265,mayhew_2022
