epoch,train_loss,val_loss,val_metric,dataset
0,3.994474411010742,2.4299769401550293,-0.13899028301239014,abraham_2012
0,0.3994474411010742,0.24299769401550292,-0.013899028301239014,average
1,3.0197689533233643,2.1569631099700928,-0.011022090911865234,abraham_2012
1,0.3019768953323364,0.21569631099700928,-0.0011022090911865234,average
2,2.4602699875831604,2.476325511932373,-0.16071510314941406,abraham_2012
2,0.24602699875831605,0.2476325511932373,-0.016071510314941407,average
3,3.0488699674606323,2.2519514560699463,-0.05554533004760742,abraham_2012
3,0.30488699674606323,0.22519514560699463,-0.0055545330047607425,average
4,2.8587211966514587,2.1576576232910156,-0.011347651481628418,abraham_2012
4,0.28587211966514586,0.21576576232910155,-0.0011347651481628418,average
5,3.006591260433197,2.1777985095977783,-0.020788073539733887,abraham_2012
5,0.3006591260433197,0.21777985095977784,-0.0020788073539733886,average
6,2.526259183883667,2.2686057090759277,-0.06335175037384033,abraham_2012
6,0.2526259183883667,0.22686057090759276,-0.0063351750373840336,average
7,2.414859712123871,2.195482015609741,-0.029076814651489258,abraham_2012
7,0.24148597121238707,0.21954820156097413,-0.002907681465148926,average
8,2.349531501531601,2.171327829360962,-0.01775515079498291,abraham_2012
8,0.2349531501531601,0.2171327829360962,-0.001775515079498291,average
9,2.5333381295204163,2.2642409801483154,-0.061305880546569824,abraham_2012
9,0.2533338129520416,0.22642409801483154,-0.006130588054656982,average
10,2.5425084829330444,2.6293492317199707,-0.23244118690490723,abraham_2012
10,0.25425084829330447,0.26293492317199707,-0.02324411869049072,average
11,2.703296571969986,2.4348185062408447,-0.14125967025756836,abraham_2012
11,0.2703296571969986,0.24348185062408448,-0.014125967025756836,average
12,1.9209389984607697,2.7293100357055664,-0.2792952060699463,abraham_2012
12,0.19209389984607697,0.27293100357055666,-0.027929520606994628,average
13,1.8808695375919342,2.576002359390259,-0.20743608474731445,abraham_2012
13,0.18808695375919343,0.25760023593902587,-0.020743608474731445,average
14,1.7532790303230286,2.1416358947753906,-0.0038377046585083008,abraham_2012
14,0.17532790303230286,0.21416358947753905,-0.0003837704658508301,average
15,1.515019804239273,1.4562551975250244,0.3174171447753906,abraham_2012
15,0.15150198042392732,0.14562551975250243,0.03174171447753906,average
16,1.334031879901886,1.5285227298736572,0.28354352712631226,abraham_2012
16,0.1334031879901886,0.15285227298736573,0.028354352712631224,average
17,1.3077018558979034,1.2570257186889648,0.4108009338378906,abraham_2012
17,0.13077018558979034,0.1257025718688965,0.04108009338378906,average
18,1.08407823741436,1.2721474170684814,0.4037129878997803,abraham_2012
18,0.10840782374143601,0.12721474170684816,0.04037129878997803,average
19,1.2034866511821747,1.8998829126358032,0.10947781801223755,abraham_2012
19,0.12034866511821747,0.18998829126358033,0.010947781801223754,average
20,1.1888504475355148,1.4363017082214355,0.32676976919174194,abraham_2012
20,0.11888504475355148,0.14363017082214355,0.03267697691917419,average
21,1.0917847752571106,1.2536495923995972,0.41238337755203247,abraham_2012
21,0.10917847752571105,0.12536495923995972,0.04123833775520325,average
22,1.067680686712265,1.479077696800232,0.3067196011543274,abraham_2012
22,0.1067680686712265,0.1479077696800232,0.030671960115432738,average
23,0.8784148618578911,1.3989218473434448,0.34429067373275757,abraham_2012
23,0.0878414861857891,0.13989218473434448,0.03442906737327576,average
24,0.8938913494348526,1.5032881498336792,0.2953716516494751,abraham_2012
24,0.08938913494348526,0.15032881498336792,0.02953716516494751,average
25,0.8237689137458801,1.2496143579483032,0.41427481174468994,abraham_2012
25,0.08237689137458801,0.12496143579483032,0.041427481174469,average
26,0.9756716638803482,1.515156626701355,0.28980857133865356,abraham_2012
26,0.09756716638803482,0.1515156626701355,0.028980857133865355,average
27,1.023405909538269,1.243544101715088,0.417120099067688,abraham_2012
27,0.1023405909538269,0.12435441017150879,0.0417120099067688,average
28,0.9203321933746338,1.2080554962158203,0.43375450372695923,abraham_2012
28,0.09203321933746338,0.12080554962158203,0.043375450372695926,average
29,0.8832802474498749,1.201805591583252,0.4366839528083801,abraham_2012
29,0.0883280247449875,0.12018055915832519,0.04366839528083801,average
30,0.8294537216424942,1.304595947265625,0.3885035514831543,abraham_2012
