[I 2024-07-08 21:07:01,125] A new study created in memory with name: no-name-2fce4595-1893-44fe-87ef-12d5c3f6e4d6
Seed set to 42

  0%|          | 0/300 [00:00<?, ?it/s]
Train: 0.5672 | Test: 0.4726 | Test metric: 0.5117 | Dataset: gs-lf:   0%|          | 0/300 [00:01<?, ?it/s]
Train: 0.5672 | Test: 0.4726 | Test metric: 0.5117 | Dataset: gs-lf:   0%|          | 1/300 [00:01<08:18,  1.67s/it]
Train: 0.3915 | Test: 0.3139 | Test metric: 0.5274 | Dataset: gs-lf:   0%|          | 1/300 [00:03<08:18,  1.67s/it]
Train: 0.3915 | Test: 0.3139 | Test metric: 0.5274 | Dataset: gs-lf:   1%|          | 2/300 [00:03<08:14,  1.66s/it]
Train: 0.2566 | Test: 0.2107 | Test metric: 0.5415 | Dataset: gs-lf:   1%|          | 2/300 [00:04<08:14,  1.66s/it]
Train: 0.2566 | Test: 0.2107 | Test metric: 0.5415 | Dataset: gs-lf:   1%|          | 3/300 [00:04<08:11,  1.66s/it]
Train: 0.1836 | Test: 0.1649 | Test metric: 0.5550 | Dataset: gs-lf:   1%|          | 3/300 [00:06<08:11,  1.66s/it]
Train: 0.1836 | Test: 0.1649 | Test metric: 0.5550 | Dataset: gs-lf:   1%|▏         | 4/300 [00:06<08:11,  1.66s/it]
Train: 0.1534 | Test: 0.1471 | Test metric: 0.5659 | Dataset: gs-lf:   1%|▏         | 4/300 [00:08<08:11,  1.66s/it]
Train: 0.1534 | Test: 0.1471 | Test metric: 0.5659 | Dataset: gs-lf:   2%|▏         | 5/300 [00:08<08:18,  1.69s/it]
Train: 0.1416 | Test: 0.1400 | Test metric: 0.5752 | Dataset: gs-lf:   2%|▏         | 5/300 [00:10<08:18,  1.69s/it]
Train: 0.1416 | Test: 0.1400 | Test metric: 0.5752 | Dataset: gs-lf:   2%|▏         | 6/300 [00:10<08:15,  1.68s/it]
Train: 0.1366 | Test: 0.1369 | Test metric: 0.5810 | Dataset: gs-lf:   2%|▏         | 6/300 [00:11<08:15,  1.68s/it]
Train: 0.1366 | Test: 0.1369 | Test metric: 0.5810 | Dataset: gs-lf:   2%|▏         | 7/300 [00:11<08:11,  1.68s/it]
Train: 0.1343 | Test: 0.1353 | Test metric: 0.5839 | Dataset: gs-lf:   2%|▏         | 7/300 [00:13<08:11,  1.68s/it]
Train: 0.1343 | Test: 0.1353 | Test metric: 0.5839 | Dataset: gs-lf:   3%|▎         | 8/300 [00:13<08:07,  1.67s/it]
Train: 0.1330 | Test: 0.1343 | Test metric: 0.5851 | Dataset: gs-lf:   3%|▎         | 8/300 [00:15<08:07,  1.67s/it]
Train: 0.1330 | Test: 0.1343 | Test metric: 0.5851 | Dataset: gs-lf:   3%|▎         | 9/300 [00:15<08:05,  1.67s/it]
Train: 0.1320 | Test: 0.1335 | Test metric: 0.5869 | Dataset: gs-lf:   3%|▎         | 9/300 [00:16<08:05,  1.67s/it]
Train: 0.1320 | Test: 0.1335 | Test metric: 0.5869 | Dataset: gs-lf:   3%|▎         | 10/300 [00:16<08:01,  1.66s/it]
Train: 0.1312 | Test: 0.1326 | Test metric: 0.5884 | Dataset: gs-lf:   3%|▎         | 10/300 [00:18<08:01,  1.66s/it]
Train: 0.1312 | Test: 0.1326 | Test metric: 0.5884 | Dataset: gs-lf:   4%|▎         | 11/300 [00:18<08:00,  1.66s/it]
Train: 0.1302 | Test: 0.1315 | Test metric: 0.6011 | Dataset: gs-lf:   4%|▎         | 11/300 [00:19<08:00,  1.66s/it]
Train: 0.1302 | Test: 0.1315 | Test metric: 0.6011 | Dataset: gs-lf:   4%|▍         | 12/300 [00:19<07:56,  1.66s/it]
Train: 0.1290 | Test: 0.1303 | Test metric: 0.6185 | Dataset: gs-lf:   4%|▍         | 12/300 [00:21<07:56,  1.66s/it]
Train: 0.1290 | Test: 0.1303 | Test metric: 0.6185 | Dataset: gs-lf:   4%|▍         | 13/300 [00:21<07:53,  1.65s/it]
Train: 0.1277 | Test: 0.1291 | Test metric: 0.6341 | Dataset: gs-lf:   4%|▍         | 13/300 [00:23<07:53,  1.65s/it]
Train: 0.1277 | Test: 0.1291 | Test metric: 0.6341 | Dataset: gs-lf:   5%|▍         | 14/300 [00:23<07:53,  1.66s/it]
Train: 0.1264 | Test: 0.1278 | Test metric: 0.6422 | Dataset: gs-lf:   5%|▍         | 14/300 [00:24<07:53,  1.66s/it]
Train: 0.1264 | Test: 0.1278 | Test metric: 0.6422 | Dataset: gs-lf:   5%|▌         | 15/300 [00:24<07:50,  1.65s/it]
Train: 0.1250 | Test: 0.1265 | Test metric: 0.6571 | Dataset: gs-lf:   5%|▌         | 15/300 [00:26<07:50,  1.65s/it]
Train: 0.1250 | Test: 0.1265 | Test metric: 0.6571 | Dataset: gs-lf:   5%|▌         | 16/300 [00:26<07:51,  1.66s/it]
Train: 0.1237 | Test: 0.1252 | Test metric: 0.6674 | Dataset: gs-lf:   5%|▌         | 16/300 [00:28<07:51,  1.66s/it]
Train: 0.1237 | Test: 0.1252 | Test metric: 0.6674 | Dataset: gs-lf:   6%|▌         | 17/300 [00:28<07:47,  1.65s/it]
Train: 0.1226 | Test: 0.1242 | Test metric: 0.6808 | Dataset: gs-lf:   6%|▌         | 17/300 [00:29<07:47,  1.65s/it]
Train: 0.1226 | Test: 0.1242 | Test metric: 0.6808 | Dataset: gs-lf:   6%|▌         | 18/300 [00:29<07:50,  1.67s/it]
Train: 0.1213 | Test: 0.1230 | Test metric: 0.6871 | Dataset: gs-lf:   6%|▌         | 18/300 [00:31<07:50,  1.67s/it]
Train: 0.1213 | Test: 0.1230 | Test metric: 0.6871 | Dataset: gs-lf:   6%|▋         | 19/300 [00:31<07:48,  1.67s/it]
Train: 0.1202 | Test: 0.1222 | Test metric: 0.6977 | Dataset: gs-lf:   6%|▋         | 19/300 [00:33<07:48,  1.67s/it]
Train: 0.1202 | Test: 0.1222 | Test metric: 0.6977 | Dataset: gs-lf:   7%|▋         | 20/300 [00:33<07:45,  1.66s/it]
Train: 0.1192 | Test: 0.1211 | Test metric: 0.7056 | Dataset: gs-lf:   7%|▋         | 20/300 [00:34<07:45,  1.66s/it]
Train: 0.1192 | Test: 0.1211 | Test metric: 0.7056 | Dataset: gs-lf:   7%|▋         | 21/300 [00:34<07:44,  1.66s/it]
Train: 0.1182 | Test: 0.1198 | Test metric: 0.7113 | Dataset: gs-lf:   7%|▋         | 21/300 [00:36<07:44,  1.66s/it]
Train: 0.1182 | Test: 0.1198 | Test metric: 0.7113 | Dataset: gs-lf:   7%|▋         | 22/300 [00:36<07:40,  1.66s/it]
