,params,fitness
0,"{'global_dim': 128, 'depth': 2, 'hidden_dim': 256, 'dropout': 0.05, 'learning_rate': 5e-05}",0.8733228445053101
1,"{'global_dim': 256, 'depth': 3, 'hidden_dim': 256, 'dropout': 0.45, 'learning_rate': 0.0005}",0.8632039427757263
2,"{'global_dim': 256, 'depth': 3, 'hidden_dim': 192, 'dropout': 0.35000000000000003, 'learning_rate': 0.01}",0.827183723449707
3,"{'global_dim': 128, 'depth': 2, 'hidden_dim': 256, 'dropout': 0.1, 'learning_rate': 0.005}",0.8756728172302246
4,"{'global_dim': 192, 'depth': 4, 'hidden_dim': 320, 'dropout': 0.45, 'learning_rate': 5e-05}",0.845766544342041
5,"{'global_dim': 256, 'depth': 4, 'hidden_dim': 256, 'dropout': 0.35000000000000003, 'learning_rate': 5e-05}",0.8681143522262573
6,"{'global_dim': 64, 'depth': 3, 'hidden_dim': 256, 'dropout': 0.30000000000000004, 'learning_rate': 0.0001}",0.8682812452316284
7,"{'global_dim': 256, 'depth': 2, 'hidden_dim': 192, 'dropout': 0.4, 'learning_rate': 0.005}",0.8690766096115112
8,"{'global_dim': 128, 'depth': 2, 'hidden_dim': 64, 'dropout': 0.4, 'learning_rate': 0.0001}",0.8541450500488281
9,"{'global_dim': 320, 'depth': 2, 'hidden_dim': 128, 'dropout': 0.45, 'learning_rate': 0.0001}",0.8663098812103271
10,"{'global_dim': 64, 'depth': 2, 'hidden_dim': 320, 'dropout': 0.15000000000000002, 'learning_rate': 0.005}",0.8697120547294617
11,"{'global_dim': 128, 'depth': 2, 'hidden_dim': 256, 'dropout': 0.0, 'learning_rate': 0.001}",0.8769340515136719
12,"{'global_dim': 128, 'depth': 2, 'hidden_dim': 320, 'dropout': 0.0, 'learning_rate': 0.001}",0.8789593577384949
13,"{'global_dim': 192, 'depth': 3, 'hidden_dim': 320, 'dropout': 0.0, 'learning_rate': 0.001}",0.8769558072090149
14,"{'global_dim': 192, 'depth': 3, 'hidden_dim': 320, 'dropout': 0.15000000000000002, 'learning_rate': 0.001}",0.8729590773582458
15,"{'global_dim': 192, 'depth': 4, 'hidden_dim': 320, 'dropout': 0.0, 'learning_rate': 0.001}",0.8741928935050964
16,"{'global_dim': 64, 'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.001}",0.8778599500656128
17,"{'global_dim': 64, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.001}",0.8767470121383667
18,"{'global_dim': 64, 'depth': 3, 'hidden_dim': 64, 'dropout': 0.25, 'learning_rate': 0.01}",0.8316657543182373
19,"{'global_dim': 128, 'depth': 3, 'hidden_dim': 128, 'dropout': 0.1, 'learning_rate': 0.0005}",0.8804962038993835
20,"{'global_dim': 128, 'depth': 2, 'hidden_dim': 192, 'dropout': 0.1, 'learning_rate': 0.0005}",0.8781576752662659
21,"{'global_dim': 128, 'depth': 2, 'hidden_dim': 192, 'dropout': 0.1, 'learning_rate': 0.0005}",0.878178596496582
22,"{'global_dim': 128, 'depth': 2, 'hidden_dim': 192, 'dropout': 0.05, 'learning_rate': 0.0005}",0.878430962562561
23,"{'global_dim': 128, 'depth': 2, 'hidden_dim': 128, 'dropout': 0.05, 'learning_rate': 0.0005}",0.8794713616371155
24,"{'global_dim': 128, 'depth': 2, 'hidden_dim': 128, 'dropout': 0.05, 'learning_rate': 0.0005}",0.8801177740097046
25,"{'global_dim': 192, 'depth': 3, 'hidden_dim': 128, 'dropout': 0.05, 'learning_rate': 0.0005}",0.8798105120658875
26,"{'global_dim': 192, 'depth': 3, 'hidden_dim': 64, 'dropout': 0.15000000000000002, 'learning_rate': 0.0005}",0.876278817653656
27,"{'global_dim': 320, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.05, 'learning_rate': 0.0005}",0.8806816935539246
28,"{'global_dim': 320, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.1, 'learning_rate': 0.0005}",0.8771689534187317
29,"{'global_dim': 320, 'depth': 4, 'hidden_dim': 64, 'dropout': 0.2, 'learning_rate': 0.0005}",0.8740098476409912
30,"{'global_dim': 256, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.05, 'learning_rate': 0.0005}",0.8783930540084839
31,"{'global_dim': 192, 'depth': 3, 'hidden_dim': 128, 'dropout': 0.05, 'learning_rate': 0.0005}",0.8784008026123047
32,"{'global_dim': 256, 'depth': 3, 'hidden_dim': 128, 'dropout': 0.1, 'learning_rate': 0.0005}",0.8787994980812073
33,"{'global_dim': 192, 'depth': 3, 'hidden_dim': 64, 'dropout': 0.05, 'learning_rate': 0.0005}",0.878029465675354
34,"{'global_dim': 256, 'depth': 3, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.0005}",0.8774612545967102
35,"{'global_dim': 128, 'depth': 4, 'hidden_dim': 192, 'dropout': 0.0, 'learning_rate': 0.01}",0.5448384284973145
36,"{'global_dim': 320, 'depth': 3, 'hidden_dim': 192, 'dropout': 0.1, 'learning_rate': 5e-05}",0.8737463355064392
37,"{'global_dim': 192, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.05, 'learning_rate': 0.0005}",0.8805234432220459
38,"{'global_dim': 192, 'depth': 4, 'hidden_dim': 64, 'dropout': 0.25, 'learning_rate': 0.0005}",0.8725323677062988
39,"{'global_dim': 128, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.5, 'learning_rate': 5e-05}",0.8259066343307495
40,"{'global_dim': 64, 'depth': 4, 'hidden_dim': 192, 'dropout': 0.30000000000000004, 'learning_rate': 0.005}",0.8329342007637024
41,"{'global_dim': 192, 'depth': 3, 'hidden_dim': 128, 'dropout': 0.05, 'learning_rate': 0.0005}",0.8791141510009766
42,"{'global_dim': 192, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.05, 'learning_rate': 0.0005}",0.8807177543640137
43,"{'global_dim': 256, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.0, 'learning_rate': 0.0001}",0.8752632737159729
44,"{'global_dim': 192, 'depth': 4, 'hidden_dim': 64, 'dropout': 0.05, 'learning_rate': 0.0005}",0.8794258832931519
45,"{'global_dim': 256, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.01}",0.7687517404556274
46,"{'global_dim': 128, 'depth': 4, 'hidden_dim': 192, 'dropout': 0.1, 'learning_rate': 0.0005}",0.8806673288345337
47,"{'global_dim': 192, 'depth': 4, 'hidden_dim': 192, 'dropout': 0.1, 'learning_rate': 0.005}",0.5951905250549316
48,"{'global_dim': 256, 'depth': 4, 'hidden_dim': 256, 'dropout': 0.1, 'learning_rate': 0.0001}",0.8790464997291565
49,"{'global_dim': 192, 'depth': 4, 'hidden_dim': 256, 'dropout': 0.0, 'learning_rate': 0.0005}",0.8788205981254578
50,"{'global_dim': 64, 'depth': 4, 'hidden_dim': 192, 'dropout': 0.15000000000000002, 'learning_rate': 0.0005}",0.8778743743896484
51,"{'global_dim': 128, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.0, 'learning_rate': 0.0005}",0.8731423020362854
52,"{'global_dim': 128, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.1, 'learning_rate': 0.0005}",0.8804627060890198
53,"{'global_dim': 128, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.1, 'learning_rate': 0.0005}",0.8799024224281311
