,params,fitness
141,"{'global_dim': 320, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.05, 'learning_rate': 0.0005}",0.881916880607605
71,"{'global_dim': 128, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.0005}",0.8814733028411865
147,"{'global_dim': 320, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.05, 'learning_rate': 0.0005}",0.8811729550361633
117,"{'global_dim': 128, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.05, 'learning_rate': 0.0005}",0.8811715841293335
143,"{'global_dim': 320, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.05, 'learning_rate': 0.0005}",0.8811690807342529
102,"{'global_dim': 128, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.05, 'learning_rate': 0.0005}",0.881129264831543
72,"{'global_dim': 128, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.0005}",0.8810246586799622
142,"{'global_dim': 320, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.05, 'learning_rate': 0.0005}",0.8810246586799622
78,"{'global_dim': 64, 'depth': 4, 'hidden_dim': 64, 'dropout': 0.2, 'learning_rate': 0.0005}",0.880952775478363
138,"{'global_dim': 320, 'depth': 4, 'hidden_dim': 128, 'dropout': 0.05, 'learning_rate': 0.0005}",0.8809487223625183
