,params,fitness
0,"{'depth': 3, 'hidden_dim': 64, 'dropout': 0.35000000000000003, 'learning_rate': 0.0005}",0.8727124929428101
1,"{'depth': 2, 'hidden_dim': 256, 'dropout': 0.2, 'learning_rate': 0.0005}",0.8772769570350647
2,"{'depth': 4, 'hidden_dim': 256, 'dropout': 0.1, 'learning_rate': 0.005}",0.8043622970581055
3,"{'depth': 3, 'hidden_dim': 192, 'dropout': 0.05, 'learning_rate': 5e-05}",0.8742802143096924
4,"{'depth': 3, 'hidden_dim': 320, 'dropout': 0.05, 'learning_rate': 0.005}",0.8710291981697083
5,"{'depth': 3, 'hidden_dim': 320, 'dropout': 0.25, 'learning_rate': 0.001}",0.8678027987480164
6,"{'depth': 3, 'hidden_dim': 192, 'dropout': 0.4, 'learning_rate': 0.01}",0.8556972742080688
7,"{'depth': 3, 'hidden_dim': 256, 'dropout': 0.15000000000000002, 'learning_rate': 0.001}",0.8745462894439697
8,"{'depth': 2, 'hidden_dim': 256, 'dropout': 0.5, 'learning_rate': 0.0005}",0.8719941973686218
9,"{'depth': 2, 'hidden_dim': 64, 'dropout': 0.5, 'learning_rate': 0.0001}",0.8663066625595093
10,"{'depth': 2, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0005}",0.8781219720840454
11,"{'depth': 2, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0005}",0.8773012757301331
12,"{'depth': 2, 'hidden_dim': 128, 'dropout': 0.30000000000000004, 'learning_rate': 0.0005}",0.8777568936347961
13,"{'depth': 2, 'hidden_dim': 128, 'dropout': 0.30000000000000004, 'learning_rate': 0.0005}",0.8767847418785095
14,"{'depth': 4, 'hidden_dim': 128, 'dropout': 0.4, 'learning_rate': 0.01}",0.6231653690338135
15,"{'depth': 2, 'hidden_dim': 128, 'dropout': 0.30000000000000004, 'learning_rate': 0.0001}",0.8789703845977783
16,"{'depth': 2, 'hidden_dim': 64, 'dropout': 0.0, 'learning_rate': 0.0001}",0.8687142729759216
17,"{'depth': 2, 'hidden_dim': 192, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8770481944084167
18,"{'depth': 4, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 5e-05}",0.8788745999336243
19,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.15000000000000002, 'learning_rate': 5e-05}",0.8801963925361633
20,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.4, 'learning_rate': 5e-05}",0.8730456829071045
21,"{'depth': 4, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 5e-05}",0.8791928291320801
22,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.1, 'learning_rate': 5e-05}",0.879985511302948
23,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.1, 'learning_rate': 5e-05}",0.8799670934677124
24,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.1, 'learning_rate': 5e-05}",0.8799849152565002
25,"{'depth': 4, 'hidden_dim': 256, 'dropout': 0.0, 'learning_rate': 5e-05}",0.8697394132614136
26,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.1, 'learning_rate': 5e-05}",0.8799827694892883
27,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.05, 'learning_rate': 5e-05}",0.8790861964225769
28,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.1, 'learning_rate': 5e-05}",0.8801883459091187
29,"{'depth': 4, 'hidden_dim': 256, 'dropout': 0.15000000000000002, 'learning_rate': 5e-05}",0.8790603876113892
30,"{'depth': 3, 'hidden_dim': 192, 'dropout': 0.05, 'learning_rate': 5e-05}",0.8743056058883667
31,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.1, 'learning_rate': 5e-05}",0.8802014589309692
32,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.1, 'learning_rate': 5e-05}",0.8800854682922363
33,"{'depth': 4, 'hidden_dim': 256, 'dropout': 0.2, 'learning_rate': 0.005}",0.5531321167945862
34,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.0, 'learning_rate': 5e-05}",0.8678815364837646
35,"{'depth': 4, 'hidden_dim': 256, 'dropout': 0.15000000000000002, 'learning_rate': 0.001}",0.8730136752128601
36,"{'depth': 4, 'hidden_dim': 320, 'dropout': 0.05, 'learning_rate': 0.01}",0.6185349225997925
37,"{'depth': 3, 'hidden_dim': 192, 'dropout': 0.1, 'learning_rate': 5e-05}",0.8769788146018982
38,"{'depth': 3, 'hidden_dim': 256, 'dropout': 0.2, 'learning_rate': 5e-05}",0.8756086230278015
39,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.05, 'learning_rate': 0.005}",0.8482982516288757
40,"{'depth': 3, 'hidden_dim': 256, 'dropout': 0.15000000000000002, 'learning_rate': 0.001}",0.8734412789344788
41,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.1, 'learning_rate': 5e-05}",0.8797758221626282
42,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.1, 'learning_rate': 5e-05}",0.880235493183136
43,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.05, 'learning_rate': 5e-05}",0.8791545033454895
44,"{'depth': 4, 'hidden_dim': 256, 'dropout': 0.1, 'learning_rate': 5e-05}",0.8791566491127014
45,"{'depth': 4, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.01}",0.5691266059875488
46,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.0, 'learning_rate': 0.005}",0.5293833017349243
47,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.15000000000000002, 'learning_rate': 5e-05}",0.8803431391716003
48,"{'depth': 3, 'hidden_dim': 192, 'dropout': 0.25, 'learning_rate': 5e-05}",0.8771130442619324
49,"{'depth': 4, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.001}",0.8767160773277283
50,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 5e-05}",0.8803446292877197
51,"{'depth': 3, 'hidden_dim': 64, 'dropout': 0.2, 'learning_rate': 5e-05}",0.8766815662384033
52,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 5e-05}",0.8778157234191895
53,"{'depth': 4, 'hidden_dim': 64, 'dropout': 0.15000000000000002, 'learning_rate': 5e-05}",0.8794270157814026
54,"{'depth': 4, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0005}",0.8766688704490662
55,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8806328177452087
56,"{'depth': 4, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8800827860832214
57,"{'depth': 3, 'hidden_dim': 192, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8780726790428162
58,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8798828125
59,"{'depth': 4, 'hidden_dim': 192, 'dropout': 0.15000000000000002, 'learning_rate': 0.0005}",0.878088116645813
60,"{'depth': 4, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8807979226112366
61,"{'depth': 4, 'hidden_dim': 128, 'dropout': 0.35000000000000003, 'learning_rate': 0.0001}",0.8698863387107849
62,"{'depth': 4, 'hidden_dim': 64, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8782724738121033
63,"{'depth': 4, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8817259669303894
64,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.30000000000000004, 'learning_rate': 0.0001}",0.875202476978302
65,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8814948201179504
66,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.30000000000000004, 'learning_rate': 0.0001}",0.8750978708267212
67,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8813925385475159
68,"{'depth': 3, 'hidden_dim': 64, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8798802495002747
69,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8808426260948181
70,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8808223009109497
71,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8813090920448303
72,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8778696656227112
73,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8810397386550903
74,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8811200261116028
75,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8812690377235413
76,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8813167810440063
77,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.880812406539917
78,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8808096647262573
79,"{'depth': 3, 'hidden_dim': 64, 'dropout': 0.45, 'learning_rate': 0.0001}",0.8642255663871765
80,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8807922005653381
81,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8812369108200073
82,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.880650520324707
83,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8781359195709229
84,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8806672096252441
85,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8802557587623596
86,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.0001}",0.878324568271637
87,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8803949952125549
88,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.30000000000000004, 'learning_rate': 0.01}",0.8581410050392151
89,"{'depth': 3, 'hidden_dim': 64, 'dropout': 0.2, 'learning_rate': 0.0001}",0.8796406984329224
90,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.25, 'learning_rate': 0.0001}",0.8777004480361938
91,"{'depth': 3, 'hidden_dim': 128, 'dropout': 0.15000000000000002, 'learning_rate': 0.0001}",0.8807778358459473
